Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2005,09,197000,003,    ,278,25540, , ,06016      ,1,1,12,East Windsor town,83,83,10983802,0,0,0,0,0,0,0,0,0,83,83,10983802,0,0,0,0,0,0,0,0,0
2005,09,201000,015,    ,999,99999, , ,06242      ,1,1,12,Eastford town,15,15,1959382,0,0,0,0,0,0,0,0,0,15,15,1959382,0,0,0,0,0,0,0,0,0
2005,09,205000,001,    ,408,14860, , ,06612      ,1,1,12,Easton town,11,11,4131666,0,0,0,0,0,0,0,0,0,11,11,4131666,0,0,0,0,0,0,0,0,0
2005,09,209000,013,    ,278,25540, , ,06029      ,1,1,12,Ellington town,90,90,24644179,0,0,0,0,0,0,4,32,4315440,90,90,24644179,0,0,0,0,0,0,4,32,4315440
2005,09,213000,003,    ,278,25540, , ,06082      ,1,1,12,Enfield town,50,50,6221623,0,0,0,0,0,0,0,0,0,50,50,6221623,0,0,0,0,0,0,0,0,0
2005,09,217000,007,    ,278,25540, , ,064261167  ,1,1,10,Essex town,12,12,2553228,0,0,0,0,0,0,0,0,0,9,9,1738348,0,0,0,0,0,0,0,0,0
2005,09,221000,001,    ,408,14860, , ,06430      ,1,1,12,Fairfield town,145,145,38657670,0,0,0,3,9,3004822,0,0,0,145,145,38657670,0,0,0,3,9,3004822,0,0,0
2005,09,225000,003,    ,278,25540, , ,06032      ,1,1,12,Farmington town,84,84,14605750,10,20,1133000,0,0,0,0,0,0,84,84,14605750,10,20,1133000,0,0,0,0,0,0
2005,09,229000,007,0800,278,25540, , ,06475      ,1,1,12,Fenwick borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,233000,011,    ,999,35980, , ,06254      ,1,1,12,Franklin town,3,3,575000,0,0,0,0,0,0,0,0,0,3,3,575000,0,0,0,0,0,0,0,0,0
2005,09,237000,003,    ,278,25540, , ,06033      ,1,1,12,Glastonbury town,79,79,22537475,0,0,0,0,0,0,0,0,0,79,79,22537475,0,0,0,0,0,0,0,0,0
2005,09,241000,005,    ,999,99999, , ,06756      ,1,1,0,Goshen town,44,44,7195113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,245000,003,    ,278,25540, , ,06035      ,1,1,12,Granby town,64,64,8583242,0,0,0,0,0,0,0,0,0,64,64,8583242,0,0,0,0,0,0,0,0,0
2005,09,249000,001,    ,408,14860, , ,06830      ,1,1,6,Greenwich town,194,194,169291875,1,2,365000,0,0,0,5,25,2041665,115,115,115624149,0,0,0,0,0,0,0,0,0
2005,09,253000,011,    ,999,35980,2, ,06351      ,1,1,0,Griswold town,63,63,8131858,4,8,482944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,257000,011,0900,999,35980, , ,06340      ,1,1,12,Groton,9,9,1317000,0,0,0,0,0,0,1,12,842000,9,9,1317000,0,0,0,0,0,0,1,12,842000
2005,09,261000,011,0912,999,35980, , ,06340      ,1,1,12,Groton Long Point borough,8,8,3099640,0,0,0,0,0,0,0,0,0,8,8,3099640,0,0,0,0,0,0,0,0,0
2005,09,265000,011,    ,999,35980, , ,06340      ,1,1,12,Groton town,46,46,7771030,4,8,300000,2,8,780000,1,62,4500000,46,46,7771030,4,8,300000,2,8,780000,1,62,4500000
2005,09,269000,009,    ,408,35300, , ,06437      ,1,1,12,Guilford town,82,82,30064718,0,0,0,0,0,0,0,0,0,82,82,30064718,0,0,0,0,0,0,0,0,0
2005,09,273000,007,    ,278,25540, , ,06438      ,1,1,12,Haddam town,59,59,12460385,0,0,0,0,0,0,0,0,0,59,59,12460385,0,0,0,0,0,0,0,0,0
2005,09,277000,009,    ,408,35300, , ,06518      ,1,1,2,Hamden town,30,30,4771857,0,0,0,0,0,0,0,0,0,6,6,1127240,0,0,0,0,0,0,0,0,0
2005,09,281000,015,    ,999,99999, , ,06247      ,1,1,0,Hampton town,23,23,2371277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,285000,003,0970,278,25540, ,1,06103      ,1,1,12,Hartford,9,9,624000,13,26,1739000,5,15,1625000,10,303,73346000,9,9,624000,13,26,1739000,5,15,1625000,10,303,73346000
2005,09,289000,003,    ,278,25540, , ,06035      ,1,1,12,Hartland town,8,8,1191065,0,0,0,0,0,0,0,0,0,8,8,1191065,0,0,0,0,0,0,0,0,0
2005,09,293000,005,    ,999,99999, , ,06791      ,1,1,12,Harwinton town,24,24,7716000,0,0,0,0,0,0,0,0,0,24,24,7716000,0,0,0,0,0,0,0,0,0
2005,09,297000,013,    ,278,25540, , ,06248      ,1,1,12,Hebron town,45,45,7478237,0,0,0,0,0,0,0,0,0,45,45,7478237,0,0,0,0,0,0,0,0,0
2005,09,305000,005,    ,999,99999, , ,06757      ,1,1,12,Kent town,18,18,7697453,0,0,0,0,0,0,0,0,0,18,18,7697453,0,0,0,0,0,0,0,0,0
2005,09,309000,015,    ,999,99999,2, ,06239      ,1,1,12,Killingly town,122,122,11793593,0,0,0,0,0,0,0,0,0,122,122,11793593,0,0,0,0,0,0,0,0,0
2005,09,313000,007,    ,278,25540, , ,06417      ,1,1,12,Killingworth town,21,21,6190000,0,0,0,0,0,0,0,0,0,21,21,6190000,0,0,0,0,0,0,0,0,0
2005,09,317000,011,    ,999,35980, , ,06249      ,1,1,12,Lebanon town,37,37,5598250,0,0,0,0,0,0,0,0,0,37,37,5598250,0,0,0,0,0,0,0,0,0
2005,09,321000,011,    ,999,35980, , ,063390038  ,1,1,12,Ledyard town,49,49,7342445,0,0,0,1,4,277760,0,0,0,49,49,7342445,0,0,0,1,4,277760,0,0,0
2005,09,325000,011,    ,999,35980, , ,06351      ,1,1,12,Lisbon town,4,4,950000,0,0,0,0,0,0,0,0,0,4,4,950000,0,0,0,0,0,0,0,0,0
2005,09,333000,005,    ,999,99999,2, ,067590488  ,1,1,0,Litchfield town,49,49,11053377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,337000,011,    ,999,35980, , ,06371      ,1,1,12,Lyme town,8,8,2422920,0,0,0,0,0,0,0,0,0,8,8,2422920,0,0,0,0,0,0,0,0,0
2005,09,341000,009,    ,408,35300, , ,06443      ,1,1,12,Madison town,40,40,14553390,0,0,0,0,0,0,0,0,0,40,40,14553390,0,0,0,0,0,0,0,0,0
2005,09,345000,003,    ,278,25540, , ,06040      ,1,1,9,Manchester town,135,135,19566644,3,6,503867,0,0,0,1,112,4828000,108,108,15604955,2,4,346000,0,0,0,1,112,4828000
2005,09,349000,013,    ,278,25540, , ,06268      ,1,1,12,Mansfield town,52,52,13496915,0,0,0,0,0,0,0,0,0,52,52,13496915,0,0,0,0,0,0,0,0,0
2005,09,353000,003,    ,278,25540, , ,06447      ,1,1,11,Marlborough town,33,33,9955008,0,0,0,0,0,0,0,0,0,31,31,9499246,0,0,0,0,0,0,0,0,0
2005,09,357000,009,1210,408,35300, , ,06450      ,1,1,12,Meriden,118,118,7981250,1,2,109000,0,0,0,1,6,163800,118,118,7981250,1,2,109000,0,0,0,1,6,163800
2005,09,361000,009,    ,408,35300, , ,067620392  ,1,1,12,Middlebury town,85,85,17559522,0,0,0,0,0,0,0,0,0,85,85,17559522,0,0,0,0,0,0,0,0,0
2005,09,365000,007,    ,278,25540, , ,06455      ,1,1,12,Middlefield town,7,7,1372163,0,0,0,0,0,0,0,0,0,7,7,1372163,0,0,0,0,0,0,0,0,0
2005,09,369000,007,1250,278,25540,2,1,06457      ,1,1,0,Middletown,86,86,5611405,0,0,0,0,0,0,22,167,2163069,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,377000,009,    ,408,35300,2,1,06460      ,1,1,1,Milford,62,62,10251272,0,0,0,0,0,0,11,260,16073802,3,3,490737,0,0,0,0,0,0,0,0,0
2005,09,381000,001,    ,408,14860, , ,06468      ,1,1,12,Monroe town,42,42,10038285,0,0,0,0,0,0,0,0,0,42,42,10038285,0,0,0,0,0,0,0,0,0
2005,09,385000,011,    ,999,35980, , ,06382      ,1,1,12,Montville town,57,57,11316672,5,10,1010567,0,0,0,0,0,0,57,57,11316672,5,10,1010567,0,0,0,0,0,0
2005,09,389000,005,    ,999,99999, , ,06763      ,1,1,1,Morris town,9,9,1762288,0,0,0,0,0,0,0,0,0,1,1,392000,0,0,0,0,0,0,0,0,0
2005,09,393000,009,1370,408,35300, , ,06770      ,1,1,12,Naugatuck borough,99,99,14904463,0,0,0,0,0,0,0,0,0,99,99,14904463,0,0,0,0,0,0,0,0,0
2005,09,397000,003,1390,278,25540, , ,06051      ,1,1,12,New Britain,40,40,3718139,11,22,1486146,0,0,0,2,12,575000,40,40,3718139,11,22,1486146,0,0,0,2,12,575000
2005,09,401000,001,    ,408,14860, , ,06840      ,1,1,12,New Canaan town,66,66,68165000,0,0,0,0,0,0,0,0,0,66,66,68165000,0,0,0,0,0,0,0,0,0
2005,09,405000,001,    ,408,14860, , ,06812      ,1,1,12,New Fairfield town,25,25,4730250,0,0,0,2,8,825000,2,10,925000,25,25,4730250,0,0,0,2,8,825000,2,10,925000
2005,09,409000,005,    ,999,99999, , ,06057      ,1,1,12,New Hartford town,35,35,5597410,0,0,0,0,0,0,0,0,0,35,35,5597410,0,0,0,0,0,0,0,0,0
2005,09,413000,009,1450,408,35300, ,1,06510      ,1,1,12,New Haven,70,70,7277597,12,24,1866518,1,4,200000,2,14,3214800,70,70,7277597,12,24,1866518,1,4,200000,2,14,3214800
2005,09,417000,011,1480,999,35980, ,1,06320      ,1,1,0,New London,77,77,11791567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,421000,005,    ,999,99999, , ,06776      ,1,1,12,New Milford town,83,83,20568571,0,0,0,0,0,0,0,0,0,83,83,20568571,0,0,0,0,0,0,0,0,0
2005,09,425000,003,    ,278,25540, , ,06111      ,1,1,12,Newington town,44,44,5994540,0,0,0,0,0,0,0,0,0,44,44,5994540,0,0,0,0,0,0,0,0,0
2005,09,433000,001,    ,408,14860,2, ,06470      ,1,1,12,Newtown town,65,65,19952845,0,0,0,0,0,0,4,32,3861800,65,65,19952845,0,0,0,0,0,0,4,32,3861800
2005,09,437000,005,    ,999,99999, , ,06058      ,1,1,12,Norfolk town,7,7,2112500,0,0,0,0,0,0,0,0,0,7,7,2112500,0,0,0,0,0,0,0,0,0
2005,09,441000,009,    ,408,35300, , ,06471      ,1,1,0,North Branford town,64,64,9579936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,445000,005,    ,999,99999, , ,06018      ,1,1,12,North Canaan town,8,8,1980000,0,0,0,0,0,0,0,0,0,8,8,1980000,0,0,0,0,0,0,0,0,0
2005,09,449000,009,    ,408,35300, , ,06473      ,1,1,12,North Haven town,25,25,4558129,0,0,0,0,0,0,1,103,4418000,25,25,4558129,0,0,0,0,0,0,1,103,4418000
2005,09,453000,011,    ,999,35980, , ,06359      ,1,1,12,North Stonington town,27,27,4858000,0,0,0,0,0,0,0,0,0,27,27,4858000,0,0,0,0,0,0,0,0,0
2005,09,457000,001,1630,408,14860, ,1,068565125  ,1,1,12,Norwalk,81,81,28567500,6,12,1355000,0,0,0,7,240,32329000,81,81,28567500,6,12,1355000,0,0,0,7,240,32329000
2005,09,461000,011,1650,999,35980,2,1,06360      ,1,1,12,Norwich,83,83,8441491,4,8,621063,6,22,1167900,10,105,7849163,83,83,8441491,4,8,621063,6,22,1167900,10,105,7849163
2005,09,469000,011,    ,999,35980, , ,06371      ,1,1,0,Old Lyme town,32,32,9066843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,473000,007,    ,278,25540, , ,06475      ,1,1,12,Old Saybrook town,60,60,14074440,2,4,515320,0,0,0,0,0,0,60,60,14074440,2,4,515320,0,0,0,0,0,0
2005,09,477000,009,    ,408,35300, , ,06477      ,1,1,12,Orange town,7,7,2085840,0,0,0,0,0,0,0,0,0,7,7,2085840,0,0,0,0,0,0,0,0,0
2005,09,481000,009,    ,408,35300, , ,06478      ,1,1,10,Oxford town,245,245,40491518,0,0,0,0,0,0,0,0,0,218,218,36573360,0,0,0,0,0,0,0,0,0
2005,09,485000,015,    ,999,99999, , ,06374      ,1,1,12,Plainfield town,28,28,4092800,0,0,0,5,20,1471142,0,0,0,28,28,4092800,0,0,0,5,20,1471142,0,0,0
2005,09,489000,003,    ,278,25540, , ,06062      ,1,1,12,Plainville town,19,19,1738831,0,0,0,0,0,0,0,0,0,19,19,1738831,0,0,0,0,0,0,0,0,0
2005,09,493000,005,    ,999,99999, , ,06786      ,1,1,8,Plymouth town,23,23,5099541,0,0,0,0,0,0,0,0,0,9,9,2329000,0,0,0,0,0,0,0,0,0
