Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,01,114000,069,0425,222,20020, ,36320      ,3,6,12,,Cottonwood town,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
2003,01,116000,073,0430,142,13820, ,35172      ,3,6,0,,County Line town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,121000,097,0438,380,33660, ,36525      ,3,6,0,,Creola town,13,13,956805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,122000,049,0440,999,99999, ,35962      ,3,6,0,,Crossville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,123000,119,0445,999,99999, ,36907      ,3,6,0,,Cuba town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,124000,043,0450,999,99999, ,350560278  ,3,6,12,,Cullman,34,34,4728015,0,0,0,0,0,0,0,0,0,34,34,4728015,0,0,0,0,0,0,0,0,0
2003,01,126000,123,0455,999,99999, ,36853      ,3,6,12,,Dadeville,6,6,627930,0,0,0,0,0,0,0,0,0,6,6,627930,0,0,0,0,0,0,0,0,0
2003,01,127000,045,    ,218,99999, ,36361      ,3,6,0,,Dale County Unincorporated Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,128000,045,0460,218,99999, ,36322      ,3,6,12,,Daleville,3,3,140000,0,0,0,0,0,0,0,0,0,3,3,140000,0,0,0,0,0,0,0,0,0
2003,01,130000,003,0465,516,99999, ,36526      ,3,6,12,,Daphne,268,268,42551900,0,0,0,0,0,0,0,0,0,268,268,42551900,0,0,0,0,0,0,0,0,0
2003,01,131000,097,0467,380,33660, ,36528      ,3,6,12,,Dauphin Island town,59,59,6125420,0,0,0,0,0,0,0,0,0,59,59,6125420,0,0,0,0,0,0,0,0,0
2003,01,136000,103,0480,290,19460,1,35602      ,3,6,12,,Decatur,205,205,25850689,0,0,0,0,0,0,0,0,0,205,205,25850689,0,0,0,0,0,0,0,0,0
2003,01,137000,091,0485,999,99999, ,36732      ,3,6,12,,Demopolis,13,13,1744000,0,0,0,0,0,0,0,0,0,13,13,1744000,0,0,0,0,0,0,0,0,0
2003,01,139000,127,0495,142,13820, ,35062      ,3,6,12,,Dora,4,4,440570,0,0,0,0,0,0,0,0,0,4,4,440570,0,0,0,0,0,0,0,0,0
2003,01,141000,069,0500,222,20020,1,36301      ,3,6,12,,Dothan,373,373,37901351,0,0,0,0,0,0,0,0,0,373,373,37901351,0,0,0,0,0,0,0,0,0
