Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2005,01,178000,077,0640,999,22520,2,1,35631      ,3,6,12,Florence,123,123,13823384,7,14,611657,0,0,0,4,32,1247924,123,123,13823384,7,14,611657,0,0,0,4,32,1247924
2005,01,179000,003,0645,999,99999, , ,36536      ,3,6,12,Foley,611,611,78435627,0,0,0,0,0,0,8,144,6200000,611,611,78435627,0,0,0,0,0,0,8,144,6200000
2005,01,181000,085,0650,388,33860, , ,36032      ,3,6,12,Fort Deposit town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,182000,049,0655,999,99999, , ,359671994  ,3,6,12,Fort Payne,44,44,6102950,0,0,0,0,0,0,0,0,0,44,44,6102950,0,0,0,0,0,0,0,0,0
2005,01,184000,087,0658,999,99999, , ,36083      ,3,6,0,Franklin town,1,1,130972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,185000,099,0660,999,99999, , ,36445      ,3,6,0,Frisco City town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,188000,073,0675,142,13820, , ,35068      ,3,6,9,Fultondale,67,67,8156312,0,0,0,0,0,0,0,0,0,50,50,5959564,0,0,0,0,0,0,0,0,0
2005,01,189000,049,0680,999,99999, , ,35971      ,3,6,12,Fyffe town,3,3,267000,0,0,0,0,0,0,0,0,0,3,3,267000,0,0,0,0,0,0,0,0,0
2005,01,190000,055,0685,999,23460, ,1,35999      ,3,6,12,Gadsden,23,23,3760000,0,0,0,10,40,1140000,0,0,0,23,23,3760000,0,0,0,10,40,1140000,0,0,0
2005,01,195000,043,0700,999,99999,2, ,35070      ,3,6,12,Garden City town,1,1,10000,0,0,0,0,0,0,0,0,0,1,1,10000,0,0,0,0,0,0,0,0,0
2005,01,196000,073,0705,142,13820, , ,35071      ,3,6,12,Gardendale,174,174,24420654,0,0,0,0,0,0,0,0,0,174,174,24420654,0,0,0,0,0,0,0,0,0
2005,01,199000,061,0720,222,20020, , ,36340      ,3,6,0,Geneva,9,9,640514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,201000,013,0725,999,99999,2, ,36033      ,3,6,12,Georgiana town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,207000,055,0745,999,23460,2, ,35905      ,3,6,12,Glencoe,31,31,3255644,0,0,0,0,0,0,0,0,0,31,31,3255644,0,0,0,0,0,0,0,0,0
2005,01,211000,037,0755,999,99999,2, ,35072      ,3,6,12,Goodwater town,0,0,0,0,0,0,0,0,0,3,44,2200000,0,0,0,0,0,0,0,0,0,3,44,2200000
2005,01,212000,107,0760,999,99999, , ,35466      ,3,6,0,Gordo town,3,3,280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,213000,069,0765,222,20020, , ,36343      ,3,6,12,Gordon town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,215000,095,0775,999,99999, , ,35747      ,3,6,12,Grant town,2,2,200000,0,0,0,0,0,0,0,0,0,2,2,200000,0,0,0,0,0,0,0,0,0
2005,01,216000,073,0780,142,13820, , ,35073      ,3,6,12,Graysville,1,1,116718,0,0,0,0,0,0,0,0,0,1,1,116718,0,0,0,0,0,0,0,0,0
2005,01,218000,065,0785,999,46220, , ,36744      ,3,6,12,Greensboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,219000,013,0790,999,99999, , ,36037      ,3,6,12,Greenville,19,19,2825022,0,0,0,0,0,0,6,33,1651000,19,19,2825022,0,0,0,0,0,0,6,33,1651000
2005,01,221000,025,0800,999,99999, , ,36451      ,3,6,12,Grove Hill town,1,1,180000,0,0,0,0,0,0,0,0,0,1,1,180000,0,0,0,0,0,0,0,0,0
2005,01,223000,093,0805,999,99999, , ,35563      ,3,6,12,Guin,1,1,30000,0,0,0,0,0,0,0,0,0,1,1,30000,0,0,0,0,0,0,0,0,0
2005,01,224000,003,0810,999,99999, , ,36542      ,3,6,12,Gulf Shores,504,504,91808742,12,24,3410530,1,4,355500,35,1807,204263957,504,504,91808742,12,24,3410530,1,4,355500,35,1807,204263957
2005,01,225000,095,0815,999,99999, , ,35976      ,3,6,12,Guntersville,39,39,6227785,0,0,0,0,0,0,4,65,3002400,39,39,6227785,0,0,0,0,0,0,4,65,3002400
2005,01,226000,089,0817,290,26620, , ,35748      ,3,6,0,Gurley town,1,1,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,231000,133,0830,999,99999,2, ,35565      ,3,6,0,Haleyville,5,5,363750,3,6,433500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,233000,049,0840,999,99999, , ,35989      ,3,6,12,Hammondville town,2,2,170000,0,0,0,0,0,0,0,0,0,2,2,170000,0,0,0,0,0,0,0,0,0
2005,01,234000,043,0845,999,99999, , ,35077      ,3,6,0,Hanceville,48,48,2616826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,235000,117,0850,142,13820, , ,35078      ,3,6,12,Harpersville town,21,21,2127500,0,0,0,0,0,0,0,0,0,21,21,2127500,0,0,0,0,0,0,0,0,0
2005,01,236000,061,0855,222,20020, , ,36344      ,3,6,12,Hartford,10,10,687075,0,0,0,0,0,0,0,0,0,10,10,687075,0,0,0,0,0,0,0,0,0
2005,01,237000,103,0860,290,19460, , ,35640      ,3,6,12,Hartselle,106,106,10853189,0,0,0,0,0,0,0,0,0,106,106,10853189,0,0,0,0,0,0,0,0,0
2005,01,239000,085,0867,388,33860, , ,36040      ,3,6,0,Hayneville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,240000,067,0870,222,20020, , ,36345      ,3,6,12,Headland,42,42,7337000,0,0,0,2,8,560000,0,0,0,42,42,7337000,0,0,0,2,8,560000,0,0,0
2005,01,242000,029,0880,999,99999, , ,36264      ,3,6,12,Heflin,2,2,200000,0,0,0,0,0,0,2,32,1400000,2,2,200000,0,0,0,0,0,0,2,32,1400000
2005,01,243000,117,0885,142,13820,2, ,350800613  ,3,6,12,Helena,242,242,41800245,0,0,0,0,0,0,0,0,0,242,242,41800245,0,0,0,0,0,0,0,0,0
2005,01,246000,009,0887,142,13820, , ,35121      ,3,6,12,Highland Lake town,6,6,1425000,0,0,0,0,0,0,0,0,0,6,6,1425000,0,0,0,0,0,0,0,0,0
2005,01,247000,079,0890,290,19460, , ,35643      ,3,6,0,Hillsboro town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,248000,015,0895,999,11500, , ,36201      ,3,6,0,Hobson City town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,250000,055,0905,999,23460, , ,359039804  ,3,6,12,Hokes Bluff,31,31,3418160,0,0,0,0,0,0,0,0,0,31,31,3418160,0,0,0,0,0,0,0,0,0
2005,01,252000,071,0915,999,99999,2, ,35752      ,3,6,0,Hollywood town,1,1,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,253000,073,0925,142,13820, , ,35209      ,3,6,12,Homewood,53,53,12241847,0,0,0,0,0,0,1,18,1400000,53,53,12241847,0,0,0,0,0,0,1,18,1400000
2005,01,254000,073,0927,142,13820,2,1,352360628  ,3,6,12,Hoover,850,850,218590554,0,0,0,0,0,0,0,0,0,850,850,218590554,0,0,0,0,0,0,0,0,0
