Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2001,01,141000,069,0500,2180,9999,1,36301      ,3,6,11,,Dothan,288,288,18528784,4,8,123480,7,26,981083,1,5,220330,263,263,17105362,4,8,123480,6,23,857600,0,0,0
2001,01,142000,133,0505,9999,9999, ,35553      ,3,6,11,,Double Springs town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,146000,053,0515,9999,9999, ,36426      ,3,6,12,,East Brewton,1,1,30000,0,0,0,0,0,0,0,0,0,1,1,30000,0,0,0,0,0,0,0,0,0
2001,01,147000,051,0520,5240,9999, ,36024      ,3,6,12,,Eclectic town,5,5,392000,0,0,0,0,0,0,0,0,0,5,5,392000,0,0,0,0,0,0,0,0,0
2001,01,149000,031,0530,9999,9999, ,36323      ,3,6,12,,Elba,2,2,185000,0,0,0,0,0,0,0,0,0,2,2,185000,0,0,0,0,0,0,0,0,0
2001,01,151000,127,0537,9999,9999, ,35554      ,3,6,12,,Eldridge town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,155000,031,0545,9999,9999, ,363311000  ,3,6,12,,Enterprise,126,126,11716760,0,0,0,0,0,0,0,0,0,126,126,11716760,0,0,0,0,0,0,0,0,0
2001,01,161000,005,0560,9999,9999, ,360720219  ,3,6,12,,Eufaula,22,22,2316865,0,0,0,0,0,0,0,0,0,22,22,2316865,0,0,0,0,0,0,0,0,0
2001,01,163000,063,0570,9999,9999, ,35462      ,3,6,0,,Eutaw,8,8,459369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,165000,035,0575,9999,9999, ,36401      ,3,6,12,,Evergreen,1,1,49000,0,0,0,0,0,0,0,0,0,1,1,49000,0,0,0,0,0,0,0,0,0
