Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,09,289000,003,    ,278,25540, ,06035      ,1,1,12,,Hartland town,6,6,882000,0,0,0,0,0,0,0,0,0,6,6,882000,0,0,0,0,0,0,0,0,0
2003,09,293000,005,    ,328,99999, ,06791      ,1,1,12,,Harwinton town,19,19,3784000,0,0,0,0,0,0,0,0,0,19,19,3784000,0,0,0,0,0,0,0,0,0
2003,09,297000,013,    ,278,25540, ,06248      ,1,1,0,,Hebron town,39,39,7943125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,09,305000,005,    ,999,99999, ,06069      ,1,1,0,,Kent town,13,13,2287688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,09,309000,015,    ,999,99999, ,06239      ,1,1,12,,Killingly town,90,90,8593985,0,0,0,0,0,0,0,0,0,90,90,8593985,0,0,0,0,0,0,0,0,0
2003,09,313000,007,    ,278,25540, ,06417      ,1,1,11,,Killingworth town,27,27,6448031,0,0,0,0,0,0,0,0,0,24,24,5769000,0,0,0,0,0,0,0,0,0
2003,09,317000,011,    ,999,35980, ,06249      ,1,1,12,,Lebanon town,42,42,5628628,0,0,0,0,0,0,0,0,0,42,42,5628628,0,0,0,0,0,0,0,0,0
2003,09,321000,011,    ,999,35980, ,063390038  ,1,1,12,,Ledyard town,58,58,6997600,2,4,255000,3,12,306000,1,9,360000,58,58,6997600,2,4,255000,3,12,306000,1,9,360000
2003,09,325000,011,    ,999,35980, ,06351      ,1,1,0,,Lisbon town,18,18,1554927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,09,333000,005,    ,999,99999, ,067590488  ,1,1,12,,Litchfield town,29,29,6721000,0,0,0,0,0,0,0,0,0,29,29,6721000,0,0,0,0,0,0,0,0,0
2003,09,337000,011,    ,999,35980, ,06371      ,1,1,12,,Lyme town,10,10,2520058,0,0,0,0,0,0,0,0,0,10,10,2520058,0,0,0,0,0,0,0,0,0
2003,09,341000,009,    ,408,35300, ,06443      ,1,1,12,,Madison town,40,40,15497634,1,2,493920,0,0,0,0,0,0,40,40,15497634,1,2,493920,0,0,0,0,0,0
2003,09,345000,003,    ,278,25540, ,06040      ,1,1,12,,Manchester town,70,70,10681969,1,2,219000,0,0,0,3,68,2505000,70,70,10681969,1,2,219000,0,0,0,3,68,2505000
2003,09,349000,013,    ,278,25540, ,06268      ,1,1,12,,Mansfield town,64,64,9524474,0,0,0,0,0,0,1,5,133000,64,64,9524474,0,0,0,0,0,0,1,5,133000
2003,09,353000,003,    ,278,25540, ,06447      ,1,1,12,,Marlborough town,44,44,11283799,0,0,0,0,0,0,0,0,0,44,44,11283799,0,0,0,0,0,0,0,0,0
2003,09,357000,009,1210,408,35300,1,06450      ,1,1,12,,Meriden,95,95,7763994,1,2,133380,0,0,0,0,0,0,95,95,7763994,1,2,133380,0,0,0,0,0,0
2003,09,361000,009,    ,408,35300, ,067620392  ,1,1,12,,Middlebury town,42,42,8826954,0,0,0,0,0,0,0,0,0,42,42,8826954,0,0,0,0,0,0,0,0,0
2003,09,365000,007,    ,278,25540, ,06455      ,1,1,12,,Middlefield town,14,14,3001000,0,0,0,0,0,0,0,0,0,14,14,3001000,0,0,0,0,0,0,0,0,0
2003,09,369000,007,1250,278,25540,1,06457      ,1,1,0,,Middletown,89,89,5807288,0,0,0,0,0,0,17,114,1476254,0,0,0,0,0,0,0,0,0,0,0,0
2003,09,377000,009,    ,408,35300, ,06460      ,1,1,12,,Milford,72,72,12941785,0,0,0,2,8,578051,9,204,14155109,72,72,12941785,0,0,0,2,8,578051,9,204,14155109
2003,09,381000,001,    ,408,14860, ,06468      ,1,1,12,,Monroe town,32,32,9134000,0,0,0,0,0,0,0,0,0,32,32,9134000,0,0,0,0,0,0,0,0,0
2003,09,385000,011,    ,999,35980, ,06382      ,1,1,12,,Montville town,85,85,17007360,1,2,138125,0,0,0,0,0,0,85,85,17007360,1,2,138125,0,0,0,0,0,0
2003,09,389000,005,    ,999,99999, ,06763      ,1,1,11,,Morris town,3,3,561667,0,0,0,0,0,0,0,0,0,3,3,561667,0,0,0,0,0,0,0,0,0
2003,09,393000,009,1370,408,35300, ,06770      ,1,1,12,,Naugatuck borough,66,66,8476246,0,0,0,0,0,0,0,0,0,66,66,8476246,0,0,0,0,0,0,0,0,0
2003,09,397000,003,1390,278,25540, ,06051      ,1,1,12,,New Britain,28,28,2198000,3,6,278200,0,0,0,0,0,0,28,28,2198000,3,6,278200,0,0,0,0,0,0
2003,09,401000,001,    ,408,14860, ,06840      ,1,1,12,,New Canaan town,54,54,44256000,0,0,0,0,0,0,0,0,0,54,54,44256000,0,0,0,0,0,0,0,0,0
2003,09,405000,001,    ,408,14860, ,06812      ,1,1,12,,New Fairfield town,29,29,5712826,0,0,0,0,0,0,0,0,0,29,29,5712826,0,0,0,0,0,0,0,0,0
2003,09,409000,005,    ,328,99999, ,06057      ,1,1,12,,New Hartford town,47,47,6926340,0,0,0,0,0,0,0,0,0,47,47,6926340,0,0,0,0,0,0,0,0,0
2003,09,413000,009,1450,408,35300,1,06510      ,1,1,12,,New Haven,47,47,5223350,15,30,1639000,0,0,0,0,0,0,47,47,5223350,15,30,1639000,0,0,0,0,0,0
2003,09,417000,011,1480,999,35980,1,06320      ,1,1,2,,New London,52,52,2772500,0,0,0,0,0,0,0,0,0,48,48,2500000,0,0,0,0,0,0,0,0,0
2003,09,421000,005,    ,560,1930 , ,06776      ,1,1,12,,New Milford town,134,134,22237806,1,2,114440,0,0,0,0,0,0,134,134,22237806,1,2,114440,0,0,0,0,0,0
2003,09,425000,003,    ,278,25540, ,06111      ,1,1,12,,Newington town,30,30,3116168,0,0,0,0,0,0,0,0,0,30,30,3116168,0,0,0,0,0,0,0,0,0
2003,09,433000,001,    ,408,14860, ,06470      ,1,1,12,,New town,135,135,38388261,0,0,0,0,0,0,3,24,2985176,135,135,38388261,0,0,0,0,0,0,3,24,2985176
2003,09,437000,005,    ,999,99999, ,06058      ,1,1,12,,Norfolk town,6,6,1599000,0,0,0,0,0,0,0,0,0,6,6,1599000,0,0,0,0,0,0,0,0,0
