Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,09,181000,007,    ,3280,9999, ,06424      ,1,1,12,,East Hampton town,90,90,8892469,0,0,0,0,0,0,0,0,0,90,90,8892469,0,0,0,0,0,0,0,0,0
2002,09,185000,003,    ,3280,9999, ,06108      ,1,1,12,,East Hartford town,6,6,529525,1,2,99840,0,0,0,0,0,0,6,6,529525,1,2,99840,0,0,0,0,0,0
2002,09,189000,009,    ,5602,5480, ,06512      ,1,1,12,,East Haven town,39,39,3937950,0,0,0,0,0,0,0,0,0,39,39,3937950,0,0,0,0,0,0,0,0,0
2002,09,193000,011,    ,5520,9999, ,06357      ,1,1,12,,East Lyme town,72,72,12621287,0,0,0,0,0,0,0,0,0,72,72,12621287,0,0,0,0,0,0,0,0,0
2002,09,197000,003,    ,3280,9999, ,06016      ,1,1,12,,East Windsor town,55,55,6901214,1,2,104374,0,0,0,0,0,0,55,55,6901214,1,2,104374,0,0,0,0,0,0
2002,09,201000,015,    ,9999,9999, ,06242      ,1,1,12,,Eastford town,15,15,1547840,0,0,0,0,0,0,0,0,0,15,15,1547840,0,0,0,0,0,0,0,0,0
2002,09,205000,001,    ,5602,1160, ,06612      ,1,1,12,,Easton town,6,6,1965644,0,0,0,0,0,0,0,0,0,6,6,1965644,0,0,0,0,0,0,0,0,0
2002,09,209000,013,    ,3280,9999, ,06029      ,1,1,12,,Ellington town,111,111,19750988,0,0,0,0,0,0,4,32,1312000,111,111,19750988,0,0,0,0,0,0,4,32,1312000
2002,09,213000,003,    ,3280,9999, ,06082      ,1,1,12,,Enfield town,50,50,5925895,0,0,0,0,0,0,0,0,0,50,50,5925895,0,0,0,0,0,0,0,0,0
2002,09,217000,007,    ,9999,9999, ,06426      ,1,1,9,,Essex town,32,32,6314159,0,0,0,0,0,0,0,0,0,21,21,4130268,0,0,0,0,0,0,0,0,0
2002,09,221000,001,    ,5602,1160, ,06430      ,1,1,12,,Fairfield town,68,68,16692168,1,2,150000,0,0,0,0,0,0,68,68,16692168,1,2,150000,0,0,0,0,0,0
2002,09,225000,003,    ,3280,9999, ,06032      ,1,1,12,,Farmington town,111,111,15900457,0,0,0,0,0,0,4,32,400000,111,111,15900457,0,0,0,0,0,0,4,32,400000
2002,09,229000,007,0800,9999,9999, ,06475      ,1,1,12,,Fenwick borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,09,233000,011,    ,5520,9999, ,06254      ,1,1,12,,Franklin town,11,11,1559400,0,0,0,0,0,0,0,0,0,11,11,1559400,0,0,0,0,0,0,0,0,0
2002,09,237000,003,    ,3280,9999, ,06033      ,1,1,12,,Glastonbury town,98,98,20677030,2,4,426000,0,0,0,0,0,0,98,98,20677030,2,4,426000,0,0,0,0,0,0
2002,09,241000,005,    ,9999,9999, ,06756      ,1,1,0,,Goshen town,43,43,7034003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,09,245000,003,    ,3280,9999, ,06035      ,1,1,12,,Granby town,73,73,10150325,0,0,0,0,0,0,0,0,0,73,73,10150325,0,0,0,0,0,0,0,0,0
2002,09,249000,001,    ,5602,8040, ,06830      ,1,1,6,,Greenwich town,142,142,90014387,4,8,1460000,0,0,0,0,0,0,82,82,50331881,0,0,0,0,0,0,0,0,0
2002,09,253000,011,    ,5520,9999, ,06351      ,1,1,12,,Griswold town,44,44,5103010,1,2,80000,0,0,0,0,0,0,44,44,5103010,1,2,80000,0,0,0,0,0,0
2002,09,257000,011,0900,9999,9999, ,06340      ,1,1,0,,Groton,9,9,974151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,09,261000,011,0912,9999,9999, ,06340      ,1,1,12,,Groton Long Point borough,3,3,1316000,0,0,0,0,0,0,0,0,0,3,3,1316000,0,0,0,0,0,0,0,0,0
2002,09,265000,011,    ,5520,9999, ,06340      ,1,1,12,,Groton town,55,55,7049260,3,6,360000,0,0,0,0,0,0,55,55,7049260,3,6,360000,0,0,0,0,0,0
2002,09,269000,009,    ,5602,5480, ,06437      ,1,1,12,,Guilford town,73,73,20231770,0,0,0,0,0,0,0,0,0,73,73,20231770,0,0,0,0,0,0,0,0,0
2002,09,273000,007,    ,3280,9999, ,06438      ,1,1,12,,Haddam town,40,40,5011906,0,0,0,0,0,0,0,0,0,40,40,5011906,0,0,0,0,0,0,0,0,0
2002,09,277000,009,    ,5602,5480, ,06518      ,1,1,12,,Hamden town,60,60,9364403,0,0,0,0,0,0,2,21,922900,60,60,9364403,0,0,0,0,0,0,2,21,922900
