Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2018,09,185000,003,    ,00000 ,22630 ,51252 ,278,25540, ,1,06108      ,1,1,12,East Hartford town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,09,189000,009,    ,00000 ,22910 ,29257 ,408,35300, , ,06512      ,1,1,12,East Haven town,17,17,2077915,0,0,0,0,0,0,0,0,0,17,17,2077915,0,0,0,0,0,0,0,0,0
2018,09,193000,011,    ,00000 ,23400 ,19159 ,278,35980, , ,06357      ,1,1,12,East Lyme town,18,18,4793818,0,0,0,0,0,0,2,12,2294400,18,18,4793818,0,0,0,0,0,0,2,12,2294400
2018,09,197000,003,    ,00000 ,24800 ,11162 ,278,25540, , ,06016      ,1,1,12,East Windsor town,28,28,4182102,0,0,0,0,0,0,1,122,8000000,28,28,4182102,0,0,0,0,0,0,1,122,8000000
2018,09,201000,015,    ,00000 ,21860 ,1749 ,148,49340, , ,06242      ,1,1,12,Eastford town,6,6,729000,0,0,0,0,0,0,0,0,0,6,6,729000,0,0,0,0,0,0,0,0,0
2018,09,205000,001,    ,00000 ,23890 ,7490 ,408,14860, , ,06612      ,1,1,12,Easton town,8,8,5236245,0,0,0,0,0,0,0,0,0,8,8,5236245,0,0,0,0,0,0,0,0,0
2018,09,209000,013,    ,00000 ,25360 ,15602 ,278,25540, , ,06029      ,1,1,0,Ellington town,42,42,8843008,0,0,0,0,0,0,12,64,7854720,0,0,0,0,0,0,0,0,0,0,0,0
2018,09,213000,003,    ,00000 ,25990 ,44654 ,278,25540, , ,06082      ,1,1,12,Enfield town,0,0,0,0,0,0,0,0,0,5,50,4330000,0,0,0,0,0,0,0,0,0,5,50,4330000
2018,09,217000,007,    ,00000 ,26270 ,6683 ,278,25540, , ,064261167  ,1,1,12,Essex town,18,18,7961595,0,0,0,0,0,0,0,0,0,18,18,7961595,0,0,0,0,0,0,0,0,0
2018,09,221000,001,    ,00000 ,26620 ,59404 ,408,14860, , ,06824      ,1,1,12,Fairfield town,60,60,31551399,7,14,4533500,1,3,1179000,0,0,0,60,60,31551399,7,14,4533500,1,3,1179000,0,0,0
2018,09,225000,003,    ,00000 ,27600 ,25340 ,278,25540, , ,06032      ,1,1,11,Farmington town,20,20,3744143,0,0,0,1,4,435925,2,11,1226791,19,19,3512275,0,0,0,1,4,435925,2,11,1226791
2018,09,229000,007,0340,27810 ,57320 ,43 ,278,25540, , ,06475      ,1,1,12,Fenwick borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,09,233000,011,    ,00000 ,29910 ,1922 ,278,35980, , ,06254      ,1,1,12,Franklin town,5,5,1275000,0,0,0,0,0,0,0,0,0,5,5,1275000,0,0,0,0,0,0,0,0,0
2018,09,237000,003,    ,00000 ,31240 ,34427 ,278,25540, , ,06033      ,1,1,12,Glastonbury town,37,37,10481000,0,0,0,1,4,400000,0,0,0,37,37,10481000,0,0,0,1,4,400000,0,0,0
2018,09,241000,005,    ,00000 ,32290 ,2976 ,999,99999, , ,06756      ,1,1,12,Goshen town,3,3,1491000,0,0,0,0,0,0,0,0,0,3,3,1491000,0,0,0,0,0,0,0,0,0
2018,09,245000,003,    ,00000 ,32640 ,11282 ,278,25540, , ,06035      ,1,1,12,Granby town,16,16,2237000,0,0,0,0,0,0,2,52,3284000,16,16,2237000,0,0,0,0,0,0,2,52,3284000
2018,09,249000,001,    ,00000 ,33620 ,61171 ,408,14860, , ,06830      ,1,1,6,Greenwich town,136,136,142293838,0,0,0,0,0,0,3,23,14055556,70,70,66005247,0,0,0,0,0,0,0,0,0
