Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,17,118300,077,0830,999,99999, ,62916      ,2,3,12,,Campbell Hill village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,119800,057,0845,999,99999, ,61520      ,2,3,12,,Canton,15,15,1421850,0,0,0,0,0,0,0,0,0,15,15,1421850,0,0,0,0,0,0,0,0,0
2003,17,121000,007,0855,466,40420, ,61012      ,2,3,0,,Capron village,32,32,2289231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,121300,161,0860,999,19340, ,61239      ,2,3,0,,Carbon Cliff village,3,3,371000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,121600,063,0870,176,16980, ,60416      ,2,3,3,,Carbon Hill village,2,2,303096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,121900,077,0865,999,99999, ,62902      ,2,3,12,,Carbondale,16,16,2340240,2,4,193000,4,16,509250,6,117,3047680,16,16,2340240,2,4,193000,4,16,509250,6,117,3047680
2003,17,123100,113,0876,999,14060, ,61725      ,2,3,12,,Carlock village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,123400,027,0880,476,41180, ,62231      ,2,3,12,,Carlyle,5,5,777500,1,2,170000,0,0,0,2,16,500000,5,5,777500,1,2,170000,0,0,0,2,16,500000
2003,17,124900,043,0890,176,16980, ,60188      ,2,3,12,,Carol Stream village,98,98,13728064,0,0,0,0,0,0,0,0,0,98,98,13728064,0,0,0,0,0,0,0,0,0
2003,17,125200,089,0895,176,16980, ,60110      ,2,3,12,,Carpentersville village,360,360,90000000,0,0,0,0,0,0,0,0,0,360,360,90000000,0,0,0,0,0,0,0,0,0
2003,17,126400,015,    ,999,99999, ,61053      ,2,3,12,,Carroll County Unincorporated Area,61,61,9839922,0,0,0,0,0,0,0,0,0,61,61,9839922,0,0,0,0,0,0,0,0,0
2003,17,127000,061,0905,999,99999, ,62016      ,2,3,12,,Carrollton,5,5,744000,0,0,0,0,0,0,0,0,0,5,5,744000,0,0,0,0,0,0,0,0,0
2003,17,127900,199,0910,999,99999, ,62918      ,2,3,12,,Carterville,29,29,3282335,6,12,526000,0,0,0,5,60,2000000,29,29,3282335,6,12,526000,0,0,0,5,60,2000000
2003,17,128200,067,0915,999,99999, ,62321      ,2,3,12,,Carthage,3,3,254000,0,0,0,0,0,0,0,0,0,3,3,254000,0,0,0,0,0,0,0,0,0
2003,17,129100,111,0920,176,16980, ,60013      ,2,3,12,,Cary village,214,214,38891212,0,0,0,0,0,0,0,0,0,214,214,38891212,0,0,0,0,0,0,0,0,0
2003,17,130600,163,0930,476,41180, ,62232      ,2,3,12,,Caseyville village,7,7,603200,0,0,0,0,0,0,0,0,0,7,7,603200,0,0,0,0,0,0,0,0,0
2003,17,131200,017,    ,999,99999, ,62691      ,2,3,12,,Cass County Unincorporated Area,8,8,640000,0,0,0,0,0,0,0,0,0,8,8,640000,0,0,0,0,0,0,0,0,0
2003,17,132100,183,0935,999,19180, ,61817      ,2,3,12,,Catlin village,4,4,384948,2,4,225000,0,0,0,0,0,0,4,4,384948,2,4,225000,0,0,0,0,0,0
2003,17,132700,069,0940,999,99999, ,62919      ,2,3,12,,Cave-In-Rock village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,133300,099,0945,999,99999, ,61316      ,2,3,0,,Cedar Point village,2,2,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,133900,177,0950,999,99999, ,61013      ,2,3,12,,Cedarville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,135100,121,0965,999,99999, ,62801      ,2,3,12,,Centralia,12,12,1694000,0,0,0,0,0,0,3,48,3500000,12,12,1694000,0,0,0,0,0,0,3,48,3500000
2003,17,135700,163,0975,476,41180, ,62207      ,2,3,12,,Centreville,2,2,110000,0,0,0,0,0,0,0,0,0,2,2,110000,0,0,0,0,0,0,0,0,0
