Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,17,058900,007,0450,6880,9999, ,61008      ,2,3,12,,Belvidere,160,160,20102488,0,0,0,1,4,240000,0,0,0,160,160,20102488,0,0,0,1,4,240000,0,0,0
2002,17,059800,147,0455,9999,9999, ,61813      ,2,3,12,,Bement village,4,4,371000,0,0,0,0,0,0,0,0,0,4,4,371000,0,0,0,0,0,0,0,0,0
2002,17,060100,117,0460,9999,9999, ,620091427  ,2,3,12,,Benld,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
2002,17,061000,043,0465,1602,1600, ,60106      ,2,3,12,,Bensenville village,18,18,7087500,0,0,0,0,0,0,0,0,0,18,18,7087500,0,0,0,0,0,0,0,0,0
2002,17,061300,203,0470,6120,9999, ,61516      ,2,3,12,,Benson village,1,1,80000,0,0,0,0,0,0,0,0,0,1,1,80000,0,0,0,0,0,0,0,0,0
2002,17,061900,055,0480,9999,9999, ,62812      ,2,3,0,,Benton,6,6,1020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,062800,031,0485,1602,1600, ,60163      ,2,3,10,,Berkeley village,3,3,100000,0,0,0,0,0,0,0,0,0,3,3,100000,0,0,0,0,0,0,0,0,0
2002,17,064900,031,0495,1602,1600, ,60402      ,2,3,4,,Berwyn,2,2,248333,0,0,0,0,0,0,0,0,0,1,1,135000,0,0,0,0,0,0,0,0,0
2002,17,065500,119,0500,7040,9999, ,62010      ,2,3,12,,Bethalto village,21,21,3140972,5,10,1010158,2,8,720000,0,0,0,21,21,3140972,5,10,1010158,2,8,720000,0,0,0
2002,17,065800,139,0505,9999,9999, ,619140352  ,2,3,12,,Bethany village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,068500,071,0510,9999,9999, ,61418      ,2,3,0,,Biggsville village,2,2,280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,070000,073,0525,1960,9999, ,61419      ,2,3,12,,Bishop Hill village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,073000,043,0535,1602,1600, ,601081487  ,2,3,12,,Bloomingdale village,39,39,11784109,0,0,0,0,0,0,0,0,0,39,39,11784109,0,0,0,0,0,0,0,0,0
2002,17,073300,113,0540,1040,9999,1,61701      ,2,3,12,,Bloomington,429,429,52767435,0,0,0,3,12,534514,39,556,18987982,429,429,52767435,0,0,0,3,12,534514,39,556,18987982
2002,17,074500,031,0545,1602,1600, ,60406      ,2,3,12,,Blue Island,51,51,4287356,0,0,0,0,0,0,2,11,1001294,51,51,4287356,0,0,0,0,0,0,2,11,1001294
2002,17,075400,115,0550,2040,9999, ,62513      ,2,3,12,,Blue Mound village,2,2,200000,0,0,0,0,0,0,0,0,0,2,2,200000,0,0,0,0,0,0,0,0,0
2002,17,076600,171,0555,9999,9999, ,626210260  ,2,3,0,,Bluffs village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,076900,081,0560,9999,9999, ,62814      ,2,3,12,,Bluford village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,077800,197,0563,1602,1600, ,60440      ,2,3,12,,Bolingbrook village,846,846,100611125,0,0,0,0,0,0,0,0,0,846,846,100611125,0,0,0,0,0,0,0,0,0
2002,17,078400,005,    ,9999,9999, ,62246      ,2,3,12,,Bond County Unincorporated Area,49,49,6860000,0,0,0,0,0,0,0,0,0,49,49,6860000,0,0,0,0,0,0,0,0,0
2002,17,079000,019,0564,1400,9999, ,61815      ,2,3,12,,Bondville village,3,3,400000,0,0,0,0,0,0,0,0,0,3,3,400000,0,0,0,0,0,0,0,0,0
2002,17,079600,091,0570,1602,3740, ,60913      ,2,3,12,,Bonfield village,1,1,129000,0,0,0,0,0,0,0,0,0,1,1,129000,0,0,0,0,0,0,0,0,0
2002,17,079900,081,0575,9999,9999, ,628160117  ,2,3,12,,Bonnie village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,080800,007,    ,6880,9999, ,61008      ,2,3,12,,Boone County Unincorporated Area,141,141,23985898,0,0,0,0,0,0,0,0,0,141,141,23985898,0,0,0,0,0,0,0,0,0
2002,17,082000,091,0580,1602,3740, ,60914      ,2,3,12,,Bourbonnais village,73,73,9781000,0,0,0,0,0,0,0,0,0,73,73,9781000,0,0,0,0,0,0,0,0,0
2002,17,085600,091,0600,1602,3740, ,60915      ,2,3,12,,Bradley village,62,62,7090965,1,2,200000,10,40,2160000,2,10,600000,62,62,7090965,1,2,200000,10,40,2160000,2,10,600000
2002,17,085900,197,0605,1602,1600, ,60408      ,2,3,12,,Braidwood,52,52,6136080,0,0,0,2,6,707584,0,0,0,52,52,6136080,0,0,0,2,6,707584,0,0,0
2002,17,086200,027,0610,7040,9999, ,62230      ,2,3,12,,Breese,25,25,3544000,0,0,0,0,0,0,0,0,0,25,25,3544000,0,0,0,0,0,0,0,0,0
2002,17,088000,031,0620,1602,1600, ,60455      ,2,3,12,,Bridgeview village,11,11,1966000,0,0,0,0,0,0,0,0,0,11,11,1966000,0,0,0,0,0,0,0,0,0
2002,17,088900,117,0625,9999,9999, ,62012      ,2,3,12,,Brighton village,22,22,2000000,0,0,0,0,0,0,0,0,0,22,22,2000000,0,0,0,0,0,0,0,0,0
2002,17,089500,143,0630,6120,9999, ,61517      ,2,3,12,,Brimfield village,2,2,330000,0,0,0,0,0,0,0,0,0,2,2,330000,0,0,0,0,0,0,0,0,0
