Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2006,17,073300,113,0540,999,14060,2,1,61701      ,2,3,0,Bloomington,279,279,42329338,0,0,0,0,0,0,13,118,4082277,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,074500,031,0545,176,16980, , ,60406      ,2,3,12,Blue Island,32,32,3985000,0,0,0,0,0,0,0,0,0,32,32,3985000,0,0,0,0,0,0,0,0,0
2006,17,075400,115,0550,999,19500, , ,62513      ,2,3,12,Blue Mound village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,076900,081,0560,999,99999, , ,62814      ,2,3,1,Bluford village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,077800,197,0563,176,16980,2, ,60440      ,2,3,12,Bolingbrook village,200,200,38662022,0,0,0,0,0,0,0,0,0,200,200,38662022,0,0,0,0,0,0,0,0,0
2006,17,078400,005,    ,476,41180,2, ,622461088  ,2,3,12,Bond County Unincorporated Area,40,40,8566000,0,0,0,0,0,0,0,0,0,40,40,8566000,0,0,0,0,0,0,0,0,0
2006,17,079000,019,0564,999,16580, , ,61815      ,2,3,0,Bondville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,079600,091,0570,176,28100, , ,60913      ,2,3,12,Bonfield village,1,1,240000,0,0,0,0,0,0,0,0,0,1,1,240000,0,0,0,0,0,0,0,0,0
2006,17,079900,081,0575,999,99999, , ,628160117  ,2,3,12,Bonnie village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,080800,007,    ,466,40420, , ,61008      ,2,3,12,Boone County Unincorporated Area,70,70,20417095,0,0,0,0,0,0,0,0,0,70,70,20417095,0,0,0,0,0,0,0,0,0
2006,17,082000,091,0580,176,28100, , ,60914      ,2,3,12,Bourbonnais village,196,196,26161460,0,0,0,0,0,0,0,0,0,196,196,26161460,0,0,0,0,0,0,0,0,0
2006,17,085600,091,0600,176,28100, ,1,60915      ,2,3,12,Bradley village,123,123,23272196,0,0,0,0,0,0,4,20,680000,123,123,23272196,0,0,0,0,0,0,4,20,680000
2006,17,085900,197,0605,176,16980, , ,60408      ,2,3,12,Braidwood,50,50,8339300,2,4,390000,2,7,799500,0,0,0,50,50,8339300,2,4,390000,2,7,799500,0,0,0
2006,17,086200,027,0610,476,41180, , ,62230      ,2,3,12,Breese,19,19,4092000,2,4,570000,0,0,0,0,0,0,19,19,4092000,2,4,570000,0,0,0,0,0,0
2006,17,088000,031,0620,176,16980, , ,60455      ,2,3,1,Bridgeview village,46,46,8636358,0,0,0,0,0,0,3,17,3194900,2,2,511400,0,0,0,0,0,0,3,17,3194900
2006,17,088900,117,0625,476,41180,2, ,62012      ,2,3,12,Brighton village,19,19,2609000,0,0,0,0,0,0,0,0,0,19,19,2609000,0,0,0,0,0,0,0,0,0
2006,17,089500,143,0630,426,37900, , ,61517      ,2,3,12,Brimfield village,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
2006,17,090100,019,0635,999,16580, , ,61816      ,2,3,12,Broadlands village,1,1,100000,0,0,0,0,0,0,0,0,0,1,1,100000,0,0,0,0,0,0,0,0,0
2006,17,090400,031,0640,176,16980, , ,601553800  ,2,3,11,Broadview village,1,1,120000,0,0,0,0,0,0,0,0,0,1,1,120000,0,0,0,0,0,0,0,0,0
2006,17,091000,107,0645,999,99999, , ,62634      ,2,3,0,Broadwell village,1,1,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,091300,045,0650,999,99999, , ,61917      ,2,3,0,Brocton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,091900,031,0655,176,16980, , ,60513      ,2,3,12,Brookfield village,47,47,7629737,0,0,0,0,0,0,0,0,0,47,47,7629737,0,0,0,0,0,0,0,0,0
2006,17,093100,127,0665,999,99999, , ,629100508  ,2,3,0,Brookport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,100000,091,0700,176,28100, , ,60917      ,2,3,12,Buckingham village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,100300,075,0705,999,99999, , ,60918      ,2,3,0,Buckley village,1,1,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
