Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8299,8560,9999, ,TULSA SMSA,3703,3703,195114,204,408,17067,44,169,6098,430,4975,126262,3692,3692,194637,204,408,17067,44,169,6098,430,4975,126262
8299,8600,9999, ,TUSCALOOSA SMSA,239,239,6335,0,0,0,15,60,1281,6,126,3870,239,239,6335,0,0,0,15,60,1281,6,126,3870
8299,8640,9999, ,TYLER SMSA,287,287,25006,17,34,1767,0,0,0,3,206,5100,287,287,25006,17,34,1767,0,0,0,3,206,5100
8299,8680,9999, ,UTICA-ROME SMSA,249,249,9148,8,16,434,0,0,0,13,152,6100,249,249,9148,8,16,434,0,0,0,13,152,6100
8299,8720,9999, ,VALLEJO-FAIRFIELD-NAPA SMSA,1215,1215,82284,24,48,2444,40,153,7029,55,583,21320,1215,1215,82284,24,48,2444,40,153,7029,55,583,21320
8299,8750,9999, ,VICTORIA SMSA,439,439,26091,13,26,1132,19,73,2248,5,36,603,439,439,26091,13,26,1132,19,73,2248,5,36,603
8299,8760,9999, ,VINELAND-MILLVILLE-BRIDGETON SMSA,130,130,5866,2,4,106,0,0,0,0,0,0,117,117,5581,2,4,106,0,0,0,0,0,0
8299,8780,9999, ,VISALIA-TULARE-PORTERVILLE SMSA,829,829,36680,22,44,980,15,51,1515,1,5,80,819,819,36371,22,44,980,15,51,1515,1,5,80
8299,8800,9999, ,WACO SMSA,285,285,15378,27,54,1796,22,87,2114,26,464,8708,278,278,15137,27,54,1796,22,87,2114,26,464,8708
8299,8840,9999, ,WASHINGTON D.C.-MD.-VA. SMSA,15111,15111,689711,56,112,3453,16,51,2181,130,1832,58890,15095,15095,689084,54,108,3390,15,48,2128,130,1832,58890
8299,8880,9999, ,WATERBURY SMSA,397,397,18535,7,14,346,11,43,2136,28,542,11019,397,397,18535,7,14,346,11,43,2136,28,542,11019
8299,8920,9999, ,WATERLOO-CEDAR FALLS SMSA,88,88,4033,3,6,230,0,0,0,4,93,2410,88,88,4033,3,6,230,0,0,0,4,93,2410
8299,8940,9999, ,WAUSAU SMSA,163,163,7443,3,6,140,4,16,670,2,40,1193,163,163,7443,3,6,140,4,16,670,2,40,1193
8299,8960,9999, ,WEST PALM BEACH-BOCA RATON SMSA,4649,4649,268328,249,498,13065,226,843,27655,184,2735,148952,4637,4637,267713,246,492,12912,224,835,27299,182,2670,145542
8299,9000,9999, ,WHEELING W.VA.-OHIO SMSA,29,29,1465,1,2,30,0,0,0,2,114,2638,29,29,1465,1,2,30,0,0,0,2,114,2638
