Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202207,260,23420,C,Fresno  CA ,2369,2369,701858,4,8,1222,16,56,9527,26,273,46118,1723,1723,494719,4,8,1222,14,48,8928,7,119,22285
202207,260,25260,C,Hanford-Corcoran  CA ,251,251,77675,1,2,360,0,0,0,0,0,0,183,183,62920,0,0,0,0,0,0,0,0,0
202207,260,31460,C,Madera  CA ,569,569,143098,0,0,0,0,0,0,4,64,7033,569,569,143098,0,0,0,0,0,0,4,64,7033
202207,264,23540,C,Gainesville  FL ,1030,1030,233684,5,10,1424,0,0,0,12,797,33953,26,26,10871,0,0,0,0,0,0,2,40,8178
202207,266,24340,C,Grand Rapids-Kentwood  MI ,1509,1509,484518,28,56,11010,21,73,12583,33,382,47980,890,890,276073,1,2,560,5,16,2100,6,56,9350
202207,266,34740,C,Muskegon  MI ,184,184,49565,3,6,863,0,0,0,9,217,15624,128,128,36959,0,0,0,0,0,0,9,217,15624
202207,267,24580,C,Green Bay  WI ,437,437,159944,9,18,4412,0,0,0,23,226,25055,285,285,110448,5,10,2535,0,0,0,7,108,14573
202207,268,15500,C,Burlington  NC ,1074,1074,170038,1,2,180,0,0,0,1,38,2549,871,871,135552,0,0,0,0,0,0,0,0,0
202207,268,24660,C,Greensboro-High Point  NC ,1610,1610,433023,8,16,4160,0,0,0,25,624,89084,1025,1025,236876,7,14,3922,0,0,0,25,624,89084
202207,268,49180,C,Winston-Salem  NC ,2374,2374,642807,0,0,0,1,3,276,6,33,1301,1616,1616,379475,0,0,0,1,3,276,6,33,1301
202207,272,24780,C,Greenville  NC ,473,473,111147,16,32,5033,0,0,0,0,0,0,239,239,56989,16,32,5033,0,0,0,0,0,0
202207,273,24860,C,Greenville-Anderson  SC ,3919,3919,1052499,46,92,9367,18,61,6409,75,1095,140664,3476,3476,936763,45,90,9196,1,4,930,45,683,109478
202207,273,43900,C,Spartanburg  SC ,1931,1931,319899,0,0,0,0,0,0,6,94,11275,0,0,0,0,0,0,0,0,0,0,0,0
202207,276,23900,C,Gettysburg  PA ,262,262,84522,0,0,0,0,0,0,0,0,0,262,262,84522,0,0,0,0,0,0,0,0,0
202207,276,25420,C,Harrisburg-Carlisle  PA ,968,968,233763,1,2,281,5,17,1660,25,690,83936,800,800,196305,1,2,281,2,6,792,16,525,72399
202207,276,30140,C,Lebanon  PA ,129,129,25775,0,0,0,0,0,0,9,50,8042,14,14,3243,0,0,0,0,0,0,0,0,0
202207,276,49620,C,York-Hanover  PA ,621,621,153944,2,4,682,0,0,0,10,128,10200,376,376,104789,2,4,682,0,0,0,1,30,2289
202207,277,25500,C,Harrisonburg  VA ,486,486,111756,0,0,0,2,8,2750,3,15,1890,486,486,111756,0,0,0,2,8,2750,3,15,1890
202207,277,44420,C,Staunton  VA ,258,258,66835,1,2,200,0,0,0,2,57,5000,258,258,66835,1,2,200,0,0,0,2,57,5000
202207,278,25540,C,Hartford-East Hartford-Middletown  CT ,409,409,111263,42,84,5175,0,0,0,41,324,27065,239,239,69675,36,72,3834,0,0,0,15,128,12737
202207,278,35980,C,Norwich-New London  CT ,250,250,66704,2,4,687,1,4,450,2,34,5608,175,175,46659,2,4,687,1,4,450,2,34,5608
202207,279,25620,C,Hattiesburg  MS ,125,125,20201,0,0,0,2,6,250,1,5,400,0,0,0,0,0,0,0,0,0,0,0,0
202207,284,26300,C,Hot Springs  AR ,40,40,10316,16,32,3840,0,0,0,0,0,0,40,40,10316,16,32,3840,0,0,0,0,0,0
202207,288,26420,C,Houston-The Woodlands-Sugar Land  TX ,32218,32218,7806346,225,450,60879,3,12,1110,521,14694,1649497,29032,29032,7035173,202,404,54971,3,12,1110,487,14189,1592968
202207,290,19460,C,Decatur  AL ,184,184,49084,0,0,0,0,0,0,0,0,0,176,176,47638,0,0,0,0,0,0,0,0,0
202207,290,26620,C,Huntsville  AL ,2500,2500,512190,0,0,0,0,0,0,0,0,0,1397,1397,241791,0,0,0,0,0,0,0,0,0
202207,292,26820,C,Idaho Falls  ID ,887,887,171106,2,4,264,20,78,9800,5,72,8133,869,869,166471,2,4,264,18,72,8900,5,72,8133
202207,294,18020,C,Columbus  IN ,173,173,47652,0,0,0,0,0,0,0,0,0,173,173,47652,0,0,0,0,0,0,0,0,0
202207,294,26900,C,Indianapolis-Carmel-Anderson  IN ,5958,5958,2015223,61,122,20812,4,15,1665,77,2856,362862,4890,4890,1712170,52,104,18346,4,15,1665,65,2221,250742
202207,294,34620,C,Muncie  IN ,149,149,22092,0,0,0,0,0,0,1,5,596,47,47,9772,0,0,0,0,0,0,0,0,0
202207,296,27060,C,Ithaca  NY ,135,135,43999,3,6,914,0,0,0,8,71,8306,22,22,7013,1,2,300,0,0,0,0,0,0
202207,297,27180,C,Jackson  TN ,310,310,72719,0,0,0,0,0,0,0,0,0,65,65,18018,0,0,0,0,0,0,0,0,0
202207,298,27140,C,Jackson  MS ,888,888,236751,1,2,247,1,3,131,0,0,0,647,647,168980,0,0,0,0,0,0,0,0,0
202207,300,27260,C,Jacksonville  FL ,9091,9091,2194636,25,50,6417,9,27,7953,138,5672,695523,9035,9035,2173075,24,48,6117,9,27,7953,138,5672,695523
202207,304,27740,C,Johnson City  TN ,484,484,122954,4,8,1602,0,0,0,14,120,12123,325,325,98375,1,2,252,0,0,0,14,120,12123
202207,304,28700,C,Kingsport-Bristol  TN-VA ,525,525,121416,12,24,4420,10,36,4897,4,45,2632,406,406,105657,12,24,4420,8,30,4205,0,0,0
202207,306,27780,C,Johnstown  PA ,42,42,10329,0,0,0,0,0,0,0,0,0,2,2,675,0,0,0,0,0,0,0,0,0
202207,308,27860,C,Jonesboro  AR ,473,473,74896,29,58,4078,36,117,6171,10,67,3798,78,78,15191,0,0,0,0,0,0,0,0,0
202207,309,27900,C,Joplin  MO ,330,330,65768,31,62,7923,2,7,714,21,412,58556,32,32,4930,0,0,0,0,0,0,0,0,0
202207,310,12980,C,Battle Creek  MI ,41,41,8788,0,0,0,0,0,0,0,0,0,6,6,1573,0,0,0,0,0,0,0,0,0
202207,310,28020,C,Kalamazoo-Portage  MI ,218,218,73116,7,14,3355,1,3,461,0,0,0,97,97,32235,4,8,2155,0,0,0,0,0,0
202207,312,28140,C,Kansas City  MO-KS ,3567,3567,1159936,84,168,34714,49,177,37876,77,3368,470600,3067,3067,1013561,77,154,32821,49,177,37876,74,3042,425550
202207,312,29940,C,Lawrence  KS ,102,102,39641,3,6,589,0,0,0,0,0,0,58,58,23153,0,0,0,0,0,0,0,0,0
202207,312,41140,C,St. Joseph  MO-KS ,46,46,10434,4,8,930,0,0,0,0,0,0,15,15,3737,2,4,480,0,0,0,0,0,0
202207,313,28420,C,Kennewick-Richland  WA ,884,884,302695,13,26,4853,23,90,16219,14,429,56275,359,359,134272,7,14,3063,22,86,15528,7,228,33910
202207,313,47460,C,Walla Walla  WA ,62,62,22081,13,26,5629,0,0,0,0,0,0,46,46,18508,13,26,5629,0,0,0,0,0,0
202207,315,28940,C,Knoxville  TN ,2691,2691,695865,3,6,675,2,6,705,37,857,101984,2220,2220,623859,3,6,675,0,0,0,22,642,85095
202207,315,34100,C,Morristown  TN ,563,563,127681,15,30,2022,20,64,9701,0,0,0,247,247,42590,15,30,2022,20,64,9701,0,0,0
202207,316,29020,C,Kokomo  IN ,75,75,21975,0,0,0,0,0,0,0,0,0,64,64,18614,0,0,0,0,0,0,0,0,0
202207,318,29180,C,Lafayette  LA ,1375,1375,332623,0,0,0,0,0,0,2,20,4025,734,734,172127,0,0,0,0,0,0,2,20,4025
202207,320,29200,C,Lafayette-West Lafayette  IN ,349,349,107279,1,2,210,0,0,0,9,287,32070,302,302,93195,0,0,0,0,0,0,0,0,0
