Survey , FIPS , FIPS , Region , Division , County ,   , 1-unit ,   ,   , 2-unit ,   ,   , 34unit ,   ,   , 5-unit ,   ,   , 1-unit rep ,   ,   , 2-unit rep ,   ,   , 34-unit rep ,   ,   , 5-unit rep ,   ,  
Date , State , County , Code , Code , Name , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  ,  Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value 
9099  ,     01  , 075  , 3  , 6  , Lamar County  , 3  , 3  , 206637  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 3  , 3  , 206637  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 077  , 3  , 6  , Lauderdale County  , 147  , 147  , 8220649  , 1  , 2  , 34575  , 3  , 9  , 161098  , 10  , 134  , 2592676  , 147  , 147  , 8220649  , 1  , 2  , 34575  , 3  , 9  , 161098  , 10  , 134  , 2592676
9099  ,     01  , 079  , 3  , 6  , Lawrence County  , 8  , 8  , 606289  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 081  , 3  , 6  , Lee County  , 192  , 192  , 15789862  , 25  , 50  , 1485040  , 1  , 4  , 112000  , 25  , 338  , 8852330  , 192  , 192  , 15789862  , 25  , 50  , 1485040  , 1  , 4  , 112000  , 25  , 338  , 8852330
9099  ,     01  , 083  , 3  , 6  , Limestone County  , 99  , 99  , 4850561  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 99  , 99  , 4850561  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 085  , 3  , 6  , Lowndes County  , 24  , 24  , 830000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 24  , 24  , 830000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 087  , 3  , 6  , Macon County  , 19  , 19  , 906840  , 0  , 0  , 0  , 0  , 0  , 0  , 5  , 42  , 949000  , 19  , 19  , 906840  , 0  , 0  , 0  , 0  , 0  , 0  , 5  , 42  , 949000
9099  ,     01  , 089  , 3  , 6  , Madison County  , 1380  , 1380  , 47989146  , 4  , 8  , 217109  , 6  , 24  , 1101228  , 31  , 453  , 8003991  , 1379  , 1379  , 47953834  , 4  , 8  , 217109  , 6  , 24  , 1101228  , 31  , 453  , 8003991
9099  ,     01  , 091  , 3  , 6  , Marengo County  , 21  , 21  , 1279600  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 21  , 21  , 1279600  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 093  , 3  , 6  , Marion County  , 7  , 7  , 308000  , 0  , 0  , 0  , 0  , 0  , 0  , 1  , 5  , 145832  , 1  , 1  , 20000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
