Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2004,04,001000,001,    ,999,99999, , ,85936      ,4,8,12,Apache County Unincorporated Area,99,99,11296842,0,0,0,0,0,0,0,0,0,99,99,11296842,0,0,0,0,0,0,0,0,0
2004,04,009000,021,0007,999,38060, , ,852192899  ,4,8,12,Apache Junction,100,100,9260547,0,0,0,0,0,0,0,0,0,100,100,9260547,0,0,0,0,0,0,0,0,0
2004,04,013000,013,0013,999,38060, , ,85323      ,4,8,12,Avondale,2243,2243,402928789,0,0,0,0,0,0,27,200,18319095,2243,2243,402928789,0,0,0,0,0,0,27,200,18319095
2004,04,017000,003,0020,999,99999, , ,85602      ,4,8,12,Benson,15,15,953900,0,0,0,0,0,0,0,0,0,15,15,953900,0,0,0,0,0,0,0,0,0
2004,04,021000,003,0023,999,99999, , ,85603      ,4,8,12,Bisbee,4,4,299000,0,0,0,0,0,0,0,0,0,4,4,299000,0,0,0,0,0,0,0,0,0
2004,04,025000,013,0030,999,38060, , ,85326      ,4,8,0,Buckeye town,28,28,2505376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,04,029000,015,0031,999,99999, , ,86442      ,4,8,12,Bullhead City,858,858,92301081,3,6,302942,1,4,203806,2,63,6812907,858,858,92301081,3,6,302942,1,4,203806,2,63,6812907
2004,04,033000,025,0036,999,39140, , ,86322      ,4,8,12,Camp Verde town,54,54,8064619,1,2,126142,0,0,0,0,0,0,54,54,8064619,1,2,126142,0,0,0,0,0,0
2004,04,037000,013,0039,999,38060, , ,85377      ,4,8,12,Carefree town,80,80,30122874,9,18,3252782,9,36,5321716,0,0,0,80,80,30122874,9,18,3252782,9,36,5321716,0,0,0
2004,04,041000,021,0040,999,38060, , ,85222      ,4,8,12,Casa Grande,1131,1131,137752716,2,4,283471,23,91,6686519,9,54,2848049,1131,1131,137752716,2,4,283471,23,91,6686519,9,54,2848049
2004,04,045000,013,0044,999,38060, , ,85331      ,4,8,12,Cave Creek town,154,154,51669156,1,2,693987,1,4,368320,0,0,0,154,154,51669156,1,2,693987,1,4,368320,0,0,0
2004,04,049000,013,0050,999,38060, , ,85225      ,4,8,12,Chandler,3883,3883,764718958,0,0,0,6,24,2788774,13,192,16131906,3883,3883,764718958,0,0,0,6,24,2788774,13,192,16131906
2004,04,053000,025,0053,999,39140, , ,86323      ,4,8,12,Chino Valley town,248,248,38261906,0,0,0,0,0,0,0,0,0,248,248,38261906,0,0,0,0,0,0,0,0,0
2004,04,057000,025,0058,999,39140, , ,863240308  ,4,8,11,Clarkdale town,26,26,3509992,0,0,0,0,0,0,0,0,0,25,25,3330146,0,0,0,0,0,0,0,0,0
2004,04,061000,011,0062,999,99999, , ,85533      ,4,8,12,Clifton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
