Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2001,04,013000,013,0013,6200,9999, ,85323      ,4,8,12,,Avondale,2310,2310,238064794,0,0,0,0,0,0,0,0,0,2310,2310,238064794,0,0,0,0,0,0,0,0,0
2001,04,017000,003,0020,9999,9999, ,85602      ,4,8,12,,Benson,6,6,388000,0,0,0,0,0,0,0,0,0,6,6,388000,0,0,0,0,0,0,0,0,0
2001,04,021000,003,0025,9999,9999, ,85603      ,4,8,12,,Bisbee,4,4,154300,0,0,0,0,0,0,0,0,0,4,4,154300,0,0,0,0,0,0,0,0,0
2001,04,025000,013,0030,6200,9999, ,85326      ,4,8,0,,Buckeye town,22,22,1969387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,029000,015,0031,4120,9999, ,86442      ,4,8,12,,Bullhead City,309,309,30650910,0,0,0,0,0,0,0,0,0,309,309,30650910,0,0,0,0,0,0,0,0,0
2001,04,033000,025,0036,9999,9999, ,86322      ,4,8,12,,Camp Verde town,39,39,4706204,0,0,0,0,0,0,0,0,0,39,39,4706204,0,0,0,0,0,0,0,0,0
2001,04,037000,013,0039,6200,9999, ,85377      ,4,8,12,,Carefree town,63,63,16576477,0,0,0,0,0,0,0,0,0,63,63,16576477,0,0,0,0,0,0,0,0,0
2001,04,041000,021,0040,6200,9999, ,85222      ,4,8,11,,Casa Grande,741,741,80361513,3,6,268740,0,0,0,0,0,0,719,719,78007573,3,6,268740,0,0,0,0,0,0
2001,04,045000,013,0044,6200,9999, ,85331      ,4,8,12,,Cave Creek town,65,65,23158380,1,2,296844,0,0,0,0,0,0,65,65,23158380,1,2,296844,0,0,0,0,0,0
2001,04,049000,013,0050,6200,9999, ,85225      ,4,8,12,,Chandler,2707,2707,483314668,4,8,512976,0,0,0,125,1395,92211316,2707,2707,483314668,4,8,512976,0,0,0,125,1395,92211316
2001,04,053000,025,0053,9999,9999, ,86323      ,4,8,12,,Chino Valley town,50,50,7043647,0,0,0,0,0,0,0,0,0,50,50,7043647,0,0,0,0,0,0,0,0,0
2001,04,057000,025,0058,9999,9999, ,86324      ,4,8,12,,Clarkdale town,27,27,3759077,0,0,0,1,4,207360,0,0,0,27,27,3759077,0,0,0,1,4,207360,0,0,0
2001,04,061000,011,0065,9999,9999, ,85533      ,4,8,12,,Clifton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,065000,003,    ,9999,9999, ,85603      ,4,8,12,,Cochise County Unincorporated Area,261,261,25725881,0,0,0,0,0,0,0,0,0,261,261,25725881,0,0,0,0,0,0,0,0,0
2001,04,069000,005,    ,2620,9999, ,860019331  ,4,8,12,,Coconino County Unincorporated Area,338,338,46779892,0,0,0,0,0,0,0,0,0,338,338,46779892,0,0,0,0,0,0,0,0,0
2001,04,073000,015,0068,4120,9999, ,86021      ,4,8,2,,Colorado City town,20,20,2724911,0,0,0,0,0,0,0,0,0,1,1,95104,0,0,0,0,0,0,0,0,0
2001,04,077000,021,0070,6200,9999, ,85228      ,4,8,12,,Coolidge,33,33,3501465,0,0,0,0,0,0,0,0,0,33,33,3501465,0,0,0,0,0,0,0,0,0
2001,04,081000,025,0073,9999,9999, ,86326      ,4,8,12,,Cottonwood,140,140,23764486,0,0,0,0,0,0,0,0,0,140,140,23764486,0,0,0,0,0,0,0,0,0
2001,04,085000,003,0080,9999,9999, ,85607      ,4,8,12,,Douglas,20,20,1285800,0,0,0,0,0,0,0,0,0,20,20,1285800,0,0,0,0,0,0,0,0,0
2001,04,089000,011,0085,9999,9999, ,85534      ,4,8,12,,Duncan town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,093000,001,0090,9999,9999, ,85925      ,4,8,12,,Eagar town,11,11,1125214,0,0,0,0,0,0,0,0,0,11,11,1125214,0,0,0,0,0,0,0,0,0
2001,04,097000,013,0100,6200,9999, ,85335      ,4,8,12,,El Mirage,2327,2327,229376694,0,0,0,0,0,0,0,0,0,2327,2327,229376694,0,0,0,0,0,0,0,0,0
2001,04,101000,021,0105,6200,9999, ,85231      ,4,8,12,,Eloy,33,33,2304297,2,4,180000,0,0,0,0,0,0,33,33,2304297,2,4,180000,0,0,0,0,0,0
2001,04,105000,005,0115,2620,9999,1,86001      ,4,8,12,,Flagstaff,485,485,63453121,3,6,367680,1,4,300000,2,16,1229986,485,485,63453121,3,6,367680,1,4,300000,2,16,1229986
2001,04,109000,021,0120,6200,9999, ,85232      ,4,8,12,,Florence town,17,17,1180895,0,0,0,0,0,0,0,0,0,17,17,1180895,0,0,0,0,0,0,0,0,0
2001,04,113000,013,0124,6200,9999, ,85269      ,4,8,12,,Fountain Hills town,257,257,70939612,19,38,5933619,3,11,1847461,1,8,734334,257,257,70939612,19,38,5933619,3,11,1847461,1,8,734334
2001,04,117000,005,0125,2620,9999, ,86022      ,4,8,12,,Fredonia town,6,6,121190,0,0,0,0,0,0,0,0,0,6,6,121190,0,0,0,0,0,0,0,0,0
2001,04,121000,013,0129,6200,9999, ,85337      ,4,8,12,,Gila Bend town,7,7,630000,0,0,0,0,0,0,0,0,0,7,7,630000,0,0,0,0,0,0,0,0,0
2001,04,125000,007,    ,9999,9999, ,855011414  ,4,8,12,,Gila County Unincorporated Area,95,95,10955524,0,0,0,0,0,0,0,0,0,95,95,10955524,0,0,0,0,0,0,0,0,0
2001,04,129000,013,0135,6200,9999, ,85296      ,4,8,12,,Gilbert town,3945,3945,616311768,0,0,0,0,0,0,26,420,27566691,3945,3945,616311768,0,0,0,0,0,0,26,420,27566691
2001,04,133000,013,0140,6200,9999, ,85301      ,4,8,12,,Glendale,703,703,111108424,0,0,0,0,0,0,0,0,0,703,703,111108424,0,0,0,0,0,0,0,0,0
2001,04,137000,007,0145,9999,9999, ,85501      ,4,8,12,,Globe,1,1,164500,0,0,0,0,0,0,0,0,0,1,1,164500,0,0,0,0,0,0,0,0,0
2001,04,141000,013,0150,6200,9999, ,85338      ,4,8,12,,Goodyear,1877,1877,274399153,0,0,0,0,0,0,0,0,0,1877,1877,274399153,0,0,0,0,0,0,0,0,0
2001,04,145000,009,    ,9999,9999, ,85546      ,4,8,12,,Graham County Unincorporated Area,34,34,2748491,0,0,0,0,0,0,0,0,0,34,34,2748491,0,0,0,0,0,0,0,0,0
2001,04,149000,011,    ,9999,9999, ,85533      ,4,8,12,,Greenlee County Unincorporated Area,1,1,200000,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0
2001,04,153000,013,0158,6200,9999, ,85283      ,4,8,12,,Guadalupe town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,157000,007,0160,9999,9999, ,85235      ,4,8,10,,Hayden town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,165000,017,0165,9999,9999, ,86025      ,4,8,12,,Holbrook,5,5,320580,0,0,0,0,0,0,0,0,0,5,5,320580,0,0,0,0,0,0,0,0,0
2001,04,169000,003,0170,9999,9999, ,85616      ,4,8,12,,Huachuca City town,9,9,743485,0,0,0,0,0,0,0,0,0,9,9,743485,0,0,0,0,0,0,0,0,0
2001,04,173000,025,0175,9999,9999, ,86331      ,4,8,12,,Jerome town,1,1,80000,0,0,0,0,0,0,0,0,0,1,1,80000,0,0,0,0,0,0,0,0,0
2001,04,181000,015,0185,4120,9999, ,86401      ,4,8,12,,Kingman,238,238,21214509,2,4,185606,0,0,0,0,0,0,238,238,21214509,2,4,185606,0,0,0,0,0,0
2001,04,185000,012,    ,9999,9999, ,85344      ,4,8,12,,La Paz County Unincorporated Area,37,37,3683396,0,0,0,0,0,0,0,0,0,37,37,3683396,0,0,0,0,0,0,0,0,0
2001,04,189000,015,0188,4120,9999, ,86403      ,4,8,12,,Lake Havasu City,1133,1133,111813789,39,78,4675438,0,0,0,1,6,1080245,1133,1133,111813789,39,78,4675438,0,0,0,1,6,1080245
