Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2019,04,021000,003,0023,06260 ,00000 ,5575 ,999,43420, , ,85603      ,4,8,0,Bisbee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,025000,013,0030,07940 ,00000 ,50876 ,429,38060, , ,85326      ,4,8,12,Buckeye,2652,2652,710665806,0,0,0,0,0,0,0,0,0,2652,2652,710665806,0,0,0,0,0,0,0,0,0
2019,04,029000,015,0031,08220 ,00000 ,39540 ,999,29420, , ,86442      ,4,8,12,Bullhead City,246,246,56590384,1,2,378887,0,0,0,0,0,0,246,246,56590384,1,2,378887,0,0,0,0,0,0
2019,04,033000,025,0036,09690 ,00000 ,10873 ,999,39150, , ,86322      ,4,8,12,Camp Verde town,21,21,4801910,0,0,0,0,0,0,0,0,0,21,21,4801910,0,0,0,0,0,0,0,0,0
2019,04,037000,013,0039,10180 ,00000 ,3363 ,429,38060, , ,85377      ,4,8,12,Carefree town,15,15,7917219,0,0,0,0,0,0,0,0,0,15,15,7917219,0,0,0,0,0,0,0,0,0
2019,04,041000,021,0040,10530 ,00000 ,48571 ,429,38060, ,1,85122      ,4,8,12,Casa Grande,567,567,132998214,0,0,0,0,0,0,0,0,0,567,567,132998214,0,0,0,0,0,0,0,0,0
2019,04,045000,013,0044,11300 ,00000 ,5015 ,429,38060, , ,85331      ,4,8,12,Cave Creek town,52,52,17050461,0,0,0,0,0,0,0,0,0,52,52,17050461,0,0,0,0,0,0,0,0,0
2019,04,049000,013,0050,12000 ,00000 ,236123 ,429,38060, ,1,852444008  ,4,8,12,Chandler,581,581,206073303,63,126,31458255,24,74,15826656,35,252,58111676,581,581,206073303,63,126,31458255,24,74,15826656,35,252,58111676
2019,04,053000,025,0053,12840 ,00000 ,10817 ,999,39150, , ,86323      ,4,8,12,Chino Valley town,78,78,12853749,0,0,0,0,0,0,0,0,0,78,78,12853749,0,0,0,0,0,0,0,0,0
2019,04,057000,025,0058,13890 ,00000 ,4097 ,999,39150, , ,863240308  ,4,8,12,Clarkdale town,51,51,23862814,0,0,0,0,0,0,0,0,0,51,51,23862814,0,0,0,0,0,0,0,0,0
2019,04,061000,011,0062,14380 ,00000 ,3311 ,999,99999, , ,92886      ,4,8,12,Clifton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,065000,003,    ,99990 ,00000 ,52410 ,999,43420, , ,85603      ,4,8,12,Cochise County Unincorporated Area,161,161,34605089,0,0,0,0,0,0,0,0,0,161,161,34605089,0,0,0,0,0,0,0,0,0
2019,04,069000,005,    ,99990 ,00000 ,54125 ,999,22380, , ,860019331  ,4,8,12,Coconino County Unincorporated Area,208,208,39808315,0,0,0,0,0,0,0,0,0,208,208,39808315,0,0,0,0,0,0,0,0,0
2019,04,073000,015,0063,14870 ,00000 ,4821 ,999,29420, , ,86021      ,4,8,12,Colorado City town,5,5,861008,0,0,0,0,0,0,0,0,0,5,5,861008,0,0,0,0,0,0,0,0,0
2019,04,077000,021,0067,15500 ,00000 ,11825 ,429,38060, , ,85228      ,4,8,12,Coolidge,194,194,29450492,4,8,521000,1,3,300000,1,36,3500000,194,194,29450492,4,8,521000,1,3,300000,1,36,3500000
