Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,04,249000,007,0252,999,99999, ,85541      ,4,8,12,,Payson town,145,145,21483431,0,0,0,0,0,0,5,40,2055646,145,145,21483431,0,0,0,0,0,0,5,40,2055646
2003,04,253000,013,0255,999,38060, ,85345      ,4,8,12,,Peoria,1544,1544,204162517,0,0,0,0,0,0,26,348,13094992,1544,1544,204162517,0,0,0,0,0,0,26,348,13094992
2003,04,257000,013,0260,999,38060, ,85003      ,4,8,12,,Phoenix,9086,9086,1546835335,52,104,7893846,27,95,5678163,130,2661,151368997,9086,9086,1546835335,52,104,7893846,27,95,5678163,130,2661,151368997
2003,04,261000,019,    ,999,46060, ,85701      ,4,8,12,,Pima County Unincorporated Area,3042,3042,596148664,0,0,0,0,0,0,0,0,0,3042,3042,596148664,0,0,0,0,0,0,0,0,0
2003,04,265000,009,0265,999,99999, ,85543      ,4,8,12,,Pima town,4,4,493000,0,0,0,0,0,0,0,0,0,4,4,493000,0,0,0,0,0,0,0,0,0
2003,04,269000,021,    ,999,38060, ,85232      ,4,8,12,,Pinal County Unincorporated Area,5457,5457,627526307,17,34,2413000,15,58,2019000,0,0,0,5457,5457,627526307,17,34,2413000,15,58,2019000,0,0,0
2003,04,273000,017,0269,999,99999, ,85929      ,4,8,12,,Pinetop-Lakeside town,59,59,10378000,3,6,873000,2,8,432000,0,0,0,59,59,10378000,3,6,873000,2,8,432000,0,0,0
2003,04,277000,025,0280,999,39140, ,86301      ,4,8,12,,Prescott,615,615,124474648,6,12,951936,2,8,488610,7,48,7134453,615,615,124474648,6,12,951936,2,8,488610,7,48,7134453
2003,04,281000,025,0282,999,39140, ,863142275  ,4,8,12,,Prescott Valley town,696,696,69502316,41,82,5392495,6,19,1107238,0,0,0,696,696,69502316,41,82,5392495,6,19,1107238,0,0,0
2003,04,285000,012,0283,999,99999, ,85346      ,4,8,12,,Quartzsite town,3,3,533665,0,0,0,0,0,0,0,0,0,3,3,533665,0,0,0,0,0,0,0,0,0
2003,04,289000,013,0284,999,38060, ,852429311  ,4,8,12,,Queen Creek town,1973,1973,452742635,0,0,0,0,0,0,0,0,0,1973,1973,452742635,0,0,0,0,0,0,0,0,0
2003,04,293000,009,0298,999,99999, ,85546      ,4,8,12,,Safford,11,11,787000,0,0,0,0,0,0,0,0,0,11,11,787000,0,0,0,0,0,0,0,0,0
2003,04,294000,019,0303,999,46060, ,85629      ,4,8,5,,Sahuarita town,411,411,62047668,0,0,0,0,0,0,0,0,0,411,411,62047668,0,0,0,0,0,0,0,0,0
2003,04,297000,027,0321,999,49740, ,85349      ,4,8,12,,San Luis,362,362,27307463,0,0,0,0,0,0,0,0,0,362,362,27307463,0,0,0,0,0,0,0,0,0
2003,04,301000,023,    ,999,99999, ,85621      ,4,8,12,,Santa Cruz County Unincorporated Area,468,468,58260723,5,10,630506,0,0,0,1,10,768607,468,468,58260723,5,10,630506,0,0,0,1,10,768607
2003,04,305000,013,0327,999,38060,1,85251      ,4,8,12,,Scottsdale,1167,1167,191592397,0,0,0,2,6,527222,61,636,49369473,1167,1167,191592397,0,0,0,2,6,527222,61,636,49369473
2003,04,313000,025,0331,999,39140, ,86336      ,4,8,12,,Sedona,83,83,14722963,0,0,0,1,4,345529,3,17,1359701,83,83,14722963,0,0,0,1,4,345529,3,17,1359701
2003,04,317000,017,0337,999,99999, ,85901      ,4,8,12,,Show Low,294,294,31100072,0,0,0,10,40,2624040,4,32,1720500,294,294,31100072,0,0,0,10,40,2624040,4,32,1720500
2003,04,321000,003,0338,999,99999, ,85635      ,4,8,1,,Sierra Vista,402,402,28364711,0,0,0,0,0,0,0,0,0,29,29,2103428,0,0,0,0,0,0,0,0,0
2003,04,325000,017,0341,999,99999, ,85937      ,4,8,0,,Snowflake town,14,14,1439530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,04,329000,027,0342,999,49740, ,85350      ,4,8,12,,Somerton,94,94,6577785,0,0,0,6,24,1163034,0,0,0,94,94,6577785,0,0,0,6,24,1163034,0,0,0
2003,04,333000,019,0344,999,46060, ,85725      ,4,8,12,,South Tucson,18,18,1159400,0,0,0,0,0,0,0,0,0,18,18,1159400,0,0,0,0,0,0,0,0,0
2003,04,337000,001,0345,999,99999, ,85938      ,4,8,12,,Springerville town,2,2,50000,0,0,0,0,0,0,0,0,0,2,2,50000,0,0,0,0,0,0,0,0,0
2003,04,341000,001,0314,999,99999, ,85936      ,4,8,12,,St. Johns,2,2,315548,0,0,0,0,0,0,0,0,0,2,2,315548,0,0,0,0,0,0,0,0,0
2003,04,345000,021,0359,999,38060, ,85273      ,4,8,12,,Superior town,9,9,556712,0,0,0,0,0,0,0,0,0,9,9,556712,0,0,0,0,0,0,0,0,0
2003,04,349000,013,0361,999,38060, ,85374      ,4,8,12,,Surprise,4955,4955,648170395,0,0,0,0,0,0,11,336,20088025,4955,4955,648170395,0,0,0,0,0,0,11,336,20088025
2003,04,353000,017,0366,999,99999, ,85939      ,4,8,12,,Taylor town,38,38,4237000,0,0,0,0,0,0,0,0,0,38,38,4237000,0,0,0,0,0,0,0,0,0
2003,04,357000,013,0368,999,38060, ,85281      ,4,8,12,,Tempe,77,77,11379300,0,0,0,4,15,906500,30,765,67132500,77,77,11379300,0,0,0,4,15,906500,30,765,67132500
