Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8899,R4,4, ,West,258344,258344,26139393,3277,6554,449175,3461,12605,761918,10767,138105,6585981,255569,255569,25939914,3212,6424,441693,3374,12310,746399,10692,137427,6559480
8899,D1,1,1,New England ,54782,54782,4857924,2198,4396,205823,767,2807,128933,1348,18730,779403,47123,47123,4363895,2001,4002,189448,681,2511,118189,1086,16358,689650
8899,D2,1,2,Middle Atlantic ,111243,111243,9009870,2829,5658,298656,1172,4051,196895,1984,28509,1306160,102496,102496,8495862,2739,5478,292279,1103,3822,190841,1763,26130,1155674
8899,D3,2,3,East North Central,125284,125284,10923357,2736,5472,256176,1768,6643,303364,3911,51128,1712334,117920,117920,10418400,2553,5106,243342,1643,6223,288351,3694,49282,1664495
8899,D4,2,4,West North Central,52474,52474,4299274,1249,2498,122053,699,2650,100010,1150,20176,648003,51411,51411,4235650,1232,2464,120796,659,2507,94956,1131,20002,642464
8899,D5,3,5,South Atlantic,298375,298375,20704109,3935,7870,319560,2452,9221,318056,7783,107686,3614389,292371,292371,20392575,3827,7654,312539,2389,9009,311983,7596,105903,3565860
8899,D6,3,6,East South Central,42938,42938,2928445,754,1508,46791,471,1793,47258,1220,15096,378129,41284,41284,2850307,727,1454,45300,450,1721,45314,1059,13984,350407
8899,D7,3,7,West South Central,50332,50332,3952313,535,1070,30050,245,914,20942,511,6711,180147,48649,48649,3855128,506,1012,27547,235,881,20025,384,5727,160220
8899,D8,4,8,Mountain,60737,60737,4803775,354,708,38955,379,1420,60113,2402,31023,1041405,59962,59962,4754921,339,678,37681,362,1366,58340,2397,30934,1038379
8899,D9,4,9,Pacific ,197607,197607,21335618,2923,5846,410220,3082,11185,701805,8365,107082,5544576,195607,195607,21184993,2873,5746,404012,3012,10944,688059,8295,106493,5521101

