Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200899,R3,3,0,South Region,304321,304321,53777988,2973,5946,516272,1631,6064,552205,6117,135522,10980955,281324,281324,50273463,2706,5412,473915,1482,5573,518865,5479,126512,10198848
200899,R4,4,0,West Region,119993,119993,26828854,1995,3990,581330,1299,4617,532710,3026,68143,8133825,113678,113678,25600090,1871,3742,545495,1206,4312,497097,2775,65388,7853013
200899,D1,1,1,New England Division,15870,15870,3723899,427,854,99982,136,459,62970,417,7271,818178,13450,13450,3307790,384,768,92658,119,408,56761,242,5460,670598
200899,D2,1,2,Middle Atlantic Division,42145,42145,8439405,1407,2814,290825,641,2136,194890,1854,47482,4324852,38630,38630,7852213,1341,2682,278736,618,2062,187627,1509,44376,4072052
200899,D3,2,3,East North Central Divisi,55588,55588,11091887,897,1794,188831,757,2698,240712,1267,23165,1960081,49903,49903,10196974,864,1728,182133,714,2567,234489,1065,21657,1843842
200899,D4,2,4,West North Central Divisi,37637,37637,6825356,718,1436,140947,420,1597,131998,702,13817,1194405,35741,35741,6521905,678,1356,134732,406,1554,129929,636,12758,1141298
200899,D5,3,5,South Atlantic Division,156802,156802,29467355,1047,2094,198328,643,2340,247968,2767,63702,5733095,145151,145151,27556412,955,1910,180824,583,2149,231134,2436,58584,5211048
200899,D6,3,6,East South Central Divisi,42588,42588,6445656,659,1318,118138,330,1247,86733,917,16622,1142570,38474,38474,5916873,607,1214,112354,290,1118,81518,768,14905,1024290
200899,D7,3,7,West South Central Divisi,104931,104931,17864977,1267,2534,199806,658,2477,217504,2433,55198,4105290,97699,97699,16800178,1144,2288,180737,609,2306,206213,2275,53023,3963510
200899,D8,4,8,Mountain Division,59478,59478,12174030,543,1086,175075,546,1939,184685,1191,25948,2551125,55746,55746,11457447,462,924,147508,492,1760,161849,1076,24691,2431580
200899,D9,4,9,Pacific Division,60515,60515,14654824,1452,2904,406255,753,2678,348025,1835,42195,5582700,57932,57932,14142643,1409,2818,397987,714,2552,335248,1699,40697,5421433
