Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9499,04,129000,013,6200,9999,4,8,12,12,Gilbert town,2388,2388,282761029,0,0,0,0,0,0,2,18,1017390,2388,2388,282761029,0,0,0,0,0,0,2,18,1017390
9499,04,133000,013,6200,9999,4,8,12,12,Glendale,2028,2028,192550698,0,0,0,0,0,0,0,0,0,2028,2028,192550698,0,0,0,0,0,0,0,0,0
9499,04,137000,007,9999,9999,4,8,12,12,Globe,17,17,1737051,0,0,0,0,0,0,0,0,0,17,17,1737051,0,0,0,0,0,0,0,0,0
9499,04,141000,013,6200,9999,4,8,12,12,Goodyear,457,457,47388536,0,0,0,0,0,0,0,0,0,457,457,47388536,0,0,0,0,0,0,0,0,0
9499,04,145000,009,9999,9999,4,8,12,12,Graham County Unincorporated Area,30,30,1695600,0,0,0,0,0,0,0,0,0,30,30,1695600,0,0,0,0,0,0,0,0,0
9499,04,149000,011,9999,9999,4,8,12,12,Greenlee County Unincorporated Area,2,2,223000,0,0,0,0,0,0,0,0,0,2,2,223000,0,0,0,0,0,0,0,0,0
9499,04,153000,013,6200,9999,4,8,12,12,Guadalupe town,5,5,162500,0,0,0,0,0,0,0,0,0,5,5,162500,0,0,0,0,0,0,0,0,0
9499,04,157000,007,9999,9999,4,8,4,4,Hayden town,1,1,46500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,165000,017,9999,9999,4,8,4,4,Holbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,169000,003,9999,9999,4,8,12,12,Huachuca City town,2,2,104050,0,0,0,0,0,0,0,0,0,2,2,104050,0,0,0,0,0,0,0,0,0
9499,04,173000,025,9999,9999,4,8,0,0,Jerome town,3,3,214500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,177000,021,6200,9999,4,8,0,0,Kearny town #,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,181000,015,4120,9999,4,8,12,12,Kingman,268,268,15548009,2,4,191463,5,16,505537,0,0,0,268,268,15548009,2,4,191463,5,16,505537,0,0,0
9499,04,185000,012,9999,9999,4,8,0,0,La Paz County Unincorporated Area,19,19,1502036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,189000,015,4120,9999,4,8,12,12,Lake Havasu City,944,944,77133496,24,48,2703650,7,25,1161321,3,39,1487474,944,944,77133496,24,48,2703650,7,25,1161321,3,39,1487474
9499,04,193000,013,6200,9999,4,8,12,12,Litchfield Park,28,28,3469341,0,0,0,0,0,0,0,0,0,28,28,3469341,0,0,0,0,0,0,0,0,0
9499,04,197000,021,6200,9999,4,8,0,0,Mammoth town (N)#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,201000,019,8520,9999,4,8,12,12,Marana town,481,481,43674130,0,0,0,0,0,0,0,0,0,481,481,43674130,0,0,0,0,0,0,0,0,0
9499,04,205000,013,6200,9999,4,8,12,12,Maricopa County Unincorporated Area,2588,2588,251080589,0,0,0,0,0,0,1,18,1035000,2588,2588,251080589,0,0,0,0,0,0,1,18,1035000
9499,04,209000,013,6200,9999,4,8,12,12,Mesa,2553,2553,303711815,13,26,2832200,10,40,3147396,43,341,22074487,2553,2553,303711815,13,26,2832200,10,40,3147396,43,341,22074487
9499,04,213000,007,9999,9999,4,8,12,12,Miami town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,217000,015,4120,9999,4,8,12,12,Mohave County Unincorporated Area,503,503,36319199,0,0,0,0,0,0,0,0,0,503,503,36319199,0,0,0,0,0,0,0,0,0
9499,04,221000,017,9999,9999,4,8,12,12,Navajo County Unincorporated Area,184,184,16904826,0,0,0,0,0,0,1,34,1142143,184,184,16904826,0,0,0,0,0,0,1,34,1142143
9499,04,225000,023,9999,9999,4,8,12,12,Nogales,49,49,3329385,2,4,120000,5,18,436880,1,7,24550,49,49,3329385,2,4,120000,5,18,436880,1,7,24550
9499,04,229000,019,8520,9999,4,8,0,0,Oro Valley town,835,835,87635434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,233000,005,9999,9999,4,8,12,12,Page,44,44,4657098,0,0,0,1,4,197340,0,0,0,44,44,4657098,0,0,0,1,4,197340,0,0,0
9499,04,237000,013,6200,9999,4,8,12,12,Paradise Valley town,145,145,66353597,0,0,0,0,0,0,0,0,0,145,145,66353597,0,0,0,0,0,0,0,0,0
9499,04,241000,012,9999,9999,4,8,12,12,Parker town,12,12,1018850,0,0,0,0,0,0,0,0,0,12,12,1018850,0,0,0,0,0,0,0,0,0
9499,04,245000,023,9999,9999,4,8,0,0,Patagonia town,1,1,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,249000,007,9999,9999,4,8,12,12,Payson town,184,184,16078096,0,0,0,3,12,582871,5,40,2061911,184,184,16078096,0,0,0,3,12,582871,5,40,2061911
9499,04,253000,013,6200,9999,4,8,12,12,Peoria,1592,1592,137686777,0,0,0,0,0,0,0,0,0,1592,1592,137686777,0,0,0,0,0,0,0,0,0
9499,04,257000,013,6200,9999,4,8,12,6,Phoenix,6562,6562,707212735,8,16,940736,17,54,2879604,242,3121,154350062,6562,6562,707212735,8,16,940736,17,54,2879604,242,3121,154350062
9499,04,261000,019,8520,9999,4,8,12,11,Pima County Unincorporated Area,2961,2961,381677062,0,0,0,0,0,0,156,1268,63275572,2961,2961,381677062,0,0,0,0,0,0,156,1268,63275572
9499,04,265000,009,9999,9999,4,8,0,0,Pima town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,269000,021,6200,9999,4,8,12,12,Pinal County Unincorporated Area #,704,704,57337603,1,2,65935,0,0,0,0,0,0,704,704,57337603,1,2,65935,0,0,0,0,0,0
9499,04,273000,017,9999,9999,4,8,12,12,Pinetop-Lakeside town,36,36,3296700,0,0,72000,0,0,0,0,0,0,36,36,3296700,0,0,72000,0,0,0,0,0,0
9499,04,277000,025,9999,9999,4,8,12,12,Prescott,417,417,51026511,8,16,726279,10,37,1483742,13,98,4138524,417,417,51026511,8,16,726279,10,37,1483742,13,98,4138524
9499,04,281000,025,9999,9999,4,8,12,12,Prescott Valley town,535,535,35846814,134,268,10725635,24,79,3343915,0,0,0,535,535,35846814,134,268,10725635,24,79,3343915,0,0,0
9499,04,285000,012,9999,9999,4,8,12,12,Quartzsite town (N),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,04,289000,013,6200,9999,4,8,12,12,Queen Creek town (N),42,42,4825862,0,0,0,0,0,0,0,0,0,42,42,4825862,0,0,0,0,0,0,0,0,0
9499,04,293000,009,9999,9999,4,8,12,12,Safford,65,65,4448839,0,0,0,0,0,0,4,40,1255000,65,65,4448839,0,0,0,0,0,0,4,40,1255000
