Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,04,157000,007,0160,9999,9999, ,85235      ,4,8,11,,Hayden town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,165000,017,0165,9999,9999, ,86025      ,4,8,12,,Holbrook,2,2,144900,0,0,0,0,0,0,0,0,0,2,2,144900,0,0,0,0,0,0,0,0,0
2002,04,169000,003,0170,9999,9999, ,85616      ,4,8,12,,Huachuca City town,23,23,1911160,0,0,0,0,0,0,0,0,0,23,23,1911160,0,0,0,0,0,0,0,0,0
2002,04,173000,025,0173,9999,9999, ,86331      ,4,8,12,,Jerome town,3,3,669000,0,0,0,0,0,0,0,0,0,3,3,669000,0,0,0,0,0,0,0,0,0
2002,04,181000,015,0185,4120,9999, ,86401      ,4,8,12,,Kingman,299,299,27197343,3,6,272677,0,0,0,1,30,2590345,299,299,27197343,3,6,272677,0,0,0,1,30,2590345
2002,04,185000,012,    ,9999,9999, ,85344      ,4,8,12,,La Paz County Unincorporated Area,35,35,6321307,0,0,0,0,0,0,0,0,0,35,35,6321307,0,0,0,0,0,0,0,0,0
2002,04,189000,015,0188,4120,9999, ,86403      ,4,8,12,,Lake Havasu City,1303,1303,128625205,87,174,11382981,5,19,995647,1,6,227526,1303,1303,128625205,87,174,11382981,5,19,995647,1,6,227526
2002,04,193000,013,0196,6200,9999, ,85340      ,4,8,12,,Litchfield Park,19,19,5462675,0,0,0,0,0,0,0,0,0,19,19,5462675,0,0,0,0,0,0,0,0,0
2002,04,201000,019,0210,8520,9999, ,85741      ,4,8,12,,Marana town,960,960,136550365,0,0,0,0,0,0,11,80,3980409,960,960,136550365,0,0,0,0,0,0,11,80,3980409
2002,04,205000,013,    ,6200,9999, ,85004____  ,4,8,12,,Maricopa County Unincorporated Area,5318,5318,754230160,10,20,1994421,5,20,619000,77,1321,77226621,5318,5318,754230160,10,20,1994421,5,20,619000,77,1321,77226621
2002,04,209000,013,0215,6200,9999, ,852111466  ,4,8,12,,Mesa,2765,2765,371272075,3,6,662050,14,52,4019387,33,547,41475318,2765,2765,371272075,3,6,662050,14,52,4019387,33,547,41475318
2002,04,213000,007,0220,9999,9999, ,85539      ,4,8,12,,Miami town,1,1,40000,0,0,0,0,0,0,0,0,0,1,1,40000,0,0,0,0,0,0,0,0,0
2002,04,217000,015,    ,4120,9999, ,864027000  ,4,8,12,,Mohave County Unincorporated Area,555,555,47680665,2,4,202370,0,0,0,0,0,0,555,555,47680665,2,4,202370,0,0,0,0,0,0
2002,04,221000,017,    ,9999,9999, ,85901      ,4,8,12,,Navajo County Unincorporated Area,373,373,50029922,0,0,0,0,0,0,0,0,0,373,373,50029922,0,0,0,0,0,0,0,0,0
2002,04,225000,023,0235,9999,9999, ,85621      ,4,8,12,,Nogales,33,33,6155688,1,2,177475,1,3,366636,0,0,0,33,33,6155688,1,2,177475,1,3,366636,0,0,0
2002,04,229000,019,0238,8520,9999, ,85737      ,4,8,12,,Oro Valley town,429,429,83930508,0,0,0,0,0,0,0,0,0,429,429,83930508,0,0,0,0,0,0,0,0,0
2002,04,233000,005,0240,2620,9999, ,86040      ,4,8,12,,Page,7,7,1318076,0,0,0,0,0,0,0,0,0,7,7,1318076,0,0,0,0,0,0,0,0,0
2002,04,237000,013,0242,6200,9999, ,85253      ,4,8,12,,Paradise Valley town,61,61,52702950,0,0,0,0,0,0,0,0,0,61,61,52702950,0,0,0,0,0,0,0,0,0
2002,04,241000,012,0245,9999,9999, ,85344      ,4,8,12,,Parker town,5,5,482000,1,2,252000,0,0,0,0,0,0,5,5,482000,1,2,252000,0,0,0,0,0,0
2002,04,245000,023,0250,9999,9999, ,85624      ,4,8,12,,Patagonia town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,249000,007,0252,9999,9999, ,85541      ,4,8,12,,Payson town,183,183,22658528,0,0,0,0,0,0,0,0,0,183,183,22658528,0,0,0,0,0,0,0,0,0
2002,04,253000,013,0255,6200,9999, ,85345      ,4,8,12,,Peoria,1452,1452,177171911,0,0,0,15,60,1652635,72,644,31249681,1452,1452,177171911,0,0,0,15,60,1652635,72,644,31249681
